C1558705__gene_97812,C1783852__gene_117248,C2042904__gene_162511,C2440548__gene_205297,C2795872__gene_262504,C2932453__gene_110125,C3794360__gene_319820,C694214__gene_39946,C7532967__gene_57868,C8117886__gene_74963,gi|371999596|gb|AEX64850.1|,gi|635560177|emb|CDQ38613.1|,SRS013158_Baylor_scaffold_13277__gene_36359,SRS013687_Baylor_scaffold_39847__gene_71322,SRS015065_WUGC_scaffold_12232__gene_32034,SRS024132_Baylor_scaffold_21699__gene_42801,SRS053214_LANL_scaffold_16185__gene_40513,C1314978__gene_118422,C2972060__gene_155849,C4865749__gene_126769,C8396088__gene_205692,gi|1002414062|gb|KXT38664.1|,gi|947169945|ref|WP_055940982.1|,SRS011452_WUGC_scaffold_14796__gene_25288,SRS015217_WUGC_scaffold_11286__gene_20635,SRS015217_WUGC_scaffold_13463__gene_25524,SRS022524_Baylor_scaffold_56174__gene_131360,SRS065504_LANL_scaffold_13830__gene_24090,C2917743__gene_141543,gi|655521486|ref|WP_028902174.1|,gi|752708524|ref|WP_041355650.1|,gi|764964769|ref|WP_044534167.1|,gi|902983103|ref|WP_049701675.1|,gi|935464586|ref|WP_054406785.1|,SRS011452_WUGC_scaffold_16416__gene_29054,SRS052697_LANL_scaffold_3141__gene_2339,SRS056519_LANL_scaffold_10437__gene_20105,C2742444__gene_9076,C2808512__gene_268246,C2866112__gene_76610,C3377145__gene_301455,C1818213__gene_124039,SRS043411_WUGC_scaffold_38568__gene_76166,SRS054956_LANL_scaffold_27726__gene_58403,SRS063985_LANL_scaffold_39430__gene_70824,gi|29348701|ref|NP_812204.1|,gi|649573538|ref|WP_026367225.1|,SRS054956_LANL_scaffold_42033__gene_93270,C3391671__gene_179467,C456293__gene_50718,SRS054956_LANL_scaffold_14330__gene_29854,C1921020__gene_165109,gi|495022029|ref|WP_007747804.1|,gi|982526135|gb|KWR58660.1|,SRS016267_WUGC_scaffold_18360__gene_24269,C2465712__gene_75174,gi|685425571|pdb|4JKM|C,C2181565__gene_138355,gi|497944672|ref|WP_010258828.1|,gi|498222065|ref|WP_010536221.1|,SRS053214_LANL_scaffold_1598__gene_4296,C2836101__gene_158619,SRS043411_WUGC_scaffold_15726__gene_28525,C2296852__gene_101416,C2685777__gene_81303,SRS011452_WUGC_scaffold_15210__gene_26138,SRS065504_LANL_scaffold_17173__gene_30132,C2512059__gene_208025,C925732__gene_65388,gi|695508429|ref|WP_032585525.1|,C1707229__gene_142373,C3562844__gene_159477,gi|281403344|gb|EFB34024.1|,SRS043411_WUGC_scaffold_33700__gene_65023,C1750024__gene_159439,C3261579__gene_201486,gi|298515278|gb|EFI39159.1|,gi|524628062|emb|CDD38593.1|,SRS048870_WUGC_scaffold_42004__gene_79384,C2632293__gene_155072,gi|674644738|emb|CEA07580.1|,C3372214__gene_175914,gi|147829207|emb|CAN00119.1|,C2449593__gene_162948,SRS011405_WUGC_scaffold_12152__gene_23701,C2386759__gene_220704,SRS015794_Baylor_scaffold_10161__gene_20516,SRS019910_WUGC_scaffold_3921__gene_2788,gi|328532444|gb|EGF59242.1|,gi|738736031|ref|WP_036630120.1|,gi|260624335|gb|EEX47206.1|,gi|338905381|dbj|BAK45232.1|,gi|396084163|gb|AFN84582.1|,gi|224523168|gb|EEF92273.1|,gi|342322563|gb|EGU18352.1|,gi|525327587|gb|AGR44480.1|,gi|764730317|ref|WP_044467978.1|,gi|525327589|gb|AGR44481.1|,gi|982519300|gb|KWR51914.1|,gi|922838186|gb|ALA72226.1|,gi|378930038|gb|AFC68455.1|,C3301253__gene_207037,C1873421__gene_65262,gi|982531174|gb|KWR63632.1|,gi|982522489|gb|KWR55041.1|,gi|12802353|gb|AAK07837.1|AF305888_4,gi|298266464|gb|EFI08122.1|,gi|34581787|gb|AAQ76045.1|,gi|292630908|sp|P0CE45.1|UIDB2_ECOLI,gi|1002418933|gb|KXT43298.1|,gi|1015445533|gb|AMV27317.1|,gi|147829464|emb|CAN00377.1|,gi|1002424101|gb|KXT48135.1|,gi|37200400|dbj|BAC96227.1|
0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4,0,1,0,0,1,0,3,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,2,1,1,0,1,0,0,3,1,1,1,1,1,0,1,1,1,3,0,1,1,0,0,0,7,0,0,0,0,2,1,1,1,2,2,9,1,2,2,1,2,2,5,8,3
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,2,1,0,1,1,2,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,2,3,2,2,1,2,3,2,4,3,3,2,3,8
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,2,0,0,2,1,0,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,5,2,2,2,2,0,3,1,1,1,0,0,1,0,1,1,0,2,4,0,2,1,5,5,2,2,2,3,3,5,6,3,1,1,4,4,7,6
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2,2,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,3,2,0,0,1,2,1,1,0,2,1,1,0,1,1,1,0,1,1,3,5,5,2,2,3,1,3,3,5,4,7,5,10,7
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,0,0,6,0,5,5,1,1,4,1,5
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,2,0,1,1,0,2,2,1,1,0,0,3,4,0,2,1,3,1,2,1,2,2,1,1,1,2,2,4,3,2
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,5,2,1,0,1,2,0,2,0,1,2,3,1,5,2,3,1,4,4,5,6,4,8,4
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,2,0,1,1,1,2,1,1,0,2,0,1,1,1,0,1,1,1,1,1,3,0,1,1,1,2,1,1,2,3,4,3,0,3,1,3,4,4,3,3,4,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,2,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,1,0,1,2,2,1,3,3,4,1,3,3,1,3,4,5,6,5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,0,3,1,0,1,0,0,0,1,0,2,2,0,1,4,0,3,0,1,0,3,1,4,0,4,1,9,4,3,3,3,5,5
