	Gene	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat	Category	SuperPathway	SubPathway	KOAnnot
0	K00001	K00001: alcohol dehydrogenase	0.000671685	0.0	0.00067476	0.000629928	0.000911925	0.0007211839999999999	0.0007176810000000001	0.000651959	0.000798848	0.000710039	0.0006117340000000001	0.00069665	0.0007520830000000001	0.000841507	0.000580188	0.000663022	0.0	0.000597875	0.0007579469999999999	0.000697373	0.000608845	0.0008742380000000001	0.00045033599999999997	0.000702708	0.000563914	0.0005219630000000001	0.000518923	0.00066209	0.000292442	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E1.1.1.1 adh; alcohol dehydrogenase
1	K00002	K00002: alcohol dehydrogenase (NADP+)	7.77e-05	0.0	8.950000000000001e-05	3.3600000000000004e-05	5.15e-05	8.41e-05	2.52e-05	8.740000000000001e-05	9.13e-05	0.000150328	0.00012499	5.9499999999999996e-05	8.88e-05	0.00011941600000000001	0.000109033	0.000115244	0.0	2.9100000000000003e-05	0.00010420899999999999	8.88e-05	5.8299999999999994e-05	7.979999999999999e-05	8.89e-05	6.890000000000001e-05	6.69e-05	7.759999999999999e-05	0.0	0.00010096600000000001	9.42e-05	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	AKR1A1 adh; alcohol dehydrogenase (NADP+)
2	K00003	K00003: homoserine dehydrogenase	0.000639964	0.0	0.000621914	0.000720203	0.000663116	0.000762287	0.000581379	0.000621816	0.000679308	0.000572369	0.00066363	0.000721671	0.000780726	0.000652681	0.000601421	0.000644731	0.0	0.00036417400000000004	0.000551482	0.000693444	0.000682891	0.000556879	0.000587936	0.00061116	0.000624677	0.000563416	0.0006080580000000001	0.00059224	0.000472474	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	E1.1.1.3; homoserine dehydrogenase
3	K00004	K00004: (R-R)-butanediol dehydrogenase	0.0	0.0	1.87e-05	1.09e-05	1.26e-05	2.61e-05	5.17e-05	0.0	0.0	5.45e-06	0.0	0.0	1.18e-05	5.86e-06	5.02e-06	1.5399999999999998e-05	0.0	0.0	7.38e-06	1.36e-05	0.0	0.0	5.18e-06	0.0	0.0	0.0	1.6899999999999997e-05	0.0	0.0	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	BDH butB; (RR)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
4	K00005	K00005: glycerol dehydrogenase	0.0003565	0.0	0.000327311	0.000372392	0.000337385	0.00041885800000000003	0.000369255	0.000267831	0.00040156800000000004	0.000286062	0.00028231	0.000361225	0.0006106719999999999	0.00031315900000000003	0.00018507400000000002	0.000209128	0.0	0.000278825	0.000264619	0.000263074	0.00022504599999999999	0.00037474199999999996	0.000246859	0.00021737900000000002	0.000243921	0.00033864699999999997	0.00024102	0.00033387300000000005	0.000290717	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	gldA; glycerol dehydrogenase
5	K00006	K00006: glycerol-3-phosphate dehydrogenase (NAD+)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9e-06	0.0	0.0	0.0	0.0	0.0	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	GPD1; glycerol-3-phosphate dehydrogenase (NAD+)
6	K00007	K00007: D-arabinitol 4-dehydrogenase	0.0	0.0	6.93e-06	0.0	9.55e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.04e-05	0.0	0.0	0.0	0.0	0.0	1.7199999999999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000146119	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	dalD; D-arabinitol 4-dehydrogenase
7	K00008	K00008: L-iditol 2-dehydrogenase	0.00019780200000000001	0.0	0.000413189	0.00035427099999999997	0.00039111699999999996	0.00034163	0.000311176	0.000315723	0.000308668	0.000285517	0.00026752599999999997	0.000329178	0.000325122	0.00054421	0.00023584	0.000228066	0.0	0.000341622	0.00035498400000000003	0.000304825	0.000181261	0.000502706	0.00012187600000000001	0.000244146	0.00013936	0.00020651599999999999	0.000133191	0.00033842800000000005	0.00019041299999999998	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	SORD gutB; L-iditol 2-dehydrogenase
8	K00009	K00009: mannitol-1-phosphate 5-dehydrogenase	6.659999999999999e-05	0.0	8.3e-05	7.42e-05	0.000136455	9.58e-05	6.809999999999999e-05	6.17e-05	4.74e-05	5.02e-05	0.00011457799999999999	7.53e-05	0.00012088100000000001	9.08e-05	7.03e-05	8.149999999999999e-05	0.0	0.000142084	0.000103826	5.3299999999999995e-05	2.8100000000000002e-05	0.000104644	4.79e-05	6.63e-05	3.1e-05	0.00011887100000000001	0.0	0.000114394	0.0	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	mtlD; mannitol-1-phosphate 5-dehydrogenase
9	K00010	K00010: myo-inositol 2-dehydrogenase	0.000229767	0.0	0.000244631	0.00036658599999999996	0.000272092	0.000273225	0.000483641	0.000208698	0.00020454	0.000201681	0.00041637300000000005	0.00029192	0.000257835	0.00034161099999999997	0.000288196	0.000315886	0.0	0.000215567	0.000379347	0.00031392599999999996	0.000213805	0.000282161	0.000178918	0.000272599	0.000245466	0.00039036400000000003	0.000193993	0.000148446	0.0	Metabolism	Carbohydrate metabolism	Inositol_phosphate_metabolism	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
