Gene,SuperPathway,SubPathway,KOAnnot,ERR688534,ERR688548,ERR688557,ERR688560,ERR688561,ERR688574,ERR688580,ERR688581,ERR688589,ERR688613,ERR688615,ERR688623,ERR688627,ERR688632,ERR688635,ERR688638,ERR688642,ERR688650,ERR710424,ERR710426,ERR710427,ERR710428,ERR710429,ERR710430,ERR710431,ERR710432
K00001,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E1.1.1.1 adh; alcohol dehydrogenase,0.00067476,0.000629928,0.000911925,0.000721184,0.000717681,0.000651959,0.000798848,0.000710039,0.000611734,0.00069665,0.000752083,0.000841507,0.000580188,0.000663022,0,0.000597875,0.000757947,0.000697373,0.000608845,0.000874238,0.000450336,0.000702708,0.000563914,0.000521963,0.000518923,0.00066209
K00002,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,AKR1A1 adh; alcohol dehydrogenase (NADP+),8.95E-05,3.36E-05,5.15E-05,8.41E-05,2.52E-05,8.74E-05,9.13E-05,0.000150328,0.00012499,5.95E-05,8.88E-05,0.000119416,0.000109033,0.000115244,0,2.91E-05,0.000104209,8.88E-05,5.83E-05,7.98E-05,8.89E-05,6.89E-05,6.69E-05,7.76E-05,0,0.000100966
K00004,Carbohydrate metabolism,Butanoate_metabolism,BDH butB; (RR)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase,1.87E-05,1.09E-05,1.26E-05,2.61E-05,5.17E-05,0,0,5.45E-06,0,0,1.18E-05,5.86E-06,5.02E-06,1.54E-05,0,0,7.38E-06,1.36E-05,0,0,5.18E-06,0,0,0,1.69E-05,0
K00005,Carbohydrate metabolism,Propanoate_metabolism,gldA; glycerol dehydrogenase,0.000327311,0.000372392,0.000337385,0.000418858,0.000369255,0.000267831,0.000401568,0.000286062,0.00028231,0.000361225,0.000610672,0.000313159,0.000185074,0.000209128,0,0.000278825,0.000264619,0.000263074,0.000225046,0.000374742,0.000246859,0.000217379,0.000243921,0.000338647,0.00024102,0.000333873
K00007,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,dalD; D-arabinitol 4-dehydrogenase,6.93E-06,0,9.55E-06,0,0,0,0,0,0,1.04E-05,0,0,0,0,0,1.72E-05,0,0,0,0,0,0,0,0,0,0
K00008,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,SORD gutB; L-iditol 2-dehydrogenase,0.000413189,0.000354271,0.000391117,0.00034163,0.000311176,0.000315723,0.000308668,0.000285517,0.000267526,0.000329178,0.000325122,0.00054421,0.00023584,0.000228066,0,0.000341622,0.000354984,0.000304825,0.000181261,0.000502706,0.000121876,0.000244146,0.00013936,0.000206516,0.000133191,0.000338428
K00009,Carbohydrate metabolism,Fructose_and_mannose_metabolism,mtlD; mannitol-1-phosphate 5-dehydrogenase,8.3E-05,7.42E-05,0.000136455,9.58E-05,6.81E-05,6.17E-05,4.74E-05,5.02E-05,0.000114578,7.53E-05,0.000120881,9.08E-05,7.03E-05,8.15E-05,0,0.000142084,0.000103826,5.33E-05,2.81E-05,0.000104644,4.79E-05,6.63E-05,3.1E-05,0.000118871,0,0.000114394
K00010,Carbohydrate metabolism,Inositol_phosphate_metabolism,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase,0.000244631,0.000366586,0.000272092,0.000273225,0.000483641,0.000208698,0.00020454,0.000201681,0.000416373,0.00029192,0.000257835,0.000341611,0.000288196,0.000315886,0,0.000215567,0.000379347,0.000313926,0.000213805,0.000282161,0.000178918,0.000272599,0.000245466,0.000390364,0.000193993,0.000148446
K00011,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,E1.1.1.21 AKR1; aldehyde reductase,5.15E-05,4.69E-05,8.51E-05,0.000164114,8.74E-05,5.25E-05,6.67E-05,8.68E-05,6.43E-05,0.000116433,0.000132965,8.95E-05,4.66E-05,5.82E-05,0,2.92E-05,5.56E-05,6.58E-05,3.33E-05,9.4E-05,3.53E-05,4.02E-05,5.23E-05,4.37E-05,3.77E-05,4.67E-05
K00012,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,UGDH ugd; UDPglucose 6-dehydrogenase,0.000596369,0.000584816,0.000301309,0.000485825,0.000573786,0.000586832,0.000483857,0.000660426,0.000507762,0.000546675,0.000295083,0.000446546,0.000599776,0.000651653,0,0.000458105,0.000514991,0.000614428,0.00118499,0.000557402,0.000621995,0.000693333,0.000692452,0.0005501,0.000749267,0.000779681
