Gene,NAME,Category,SuperPathway,SubPathway,KOAnnot,ESM5GEYX,ESM5GEYY,ESM5GEZ1,ESM5MEAB,ESM5MEB9,ESM5MEC7,ESM5MEDP,ESM5MEE2,ESM5MEEJ,ESM718U9,ESM7F5AE,HSM5MD6G,HSM5MD6S,HSM67VDR,HSM67VDT,HSM6XRQC,HSM6XRTE,HSM7CZ2X,HSM7J4JV,HSMA33J1
K01103,K01103: fructose-26-bisphosphatase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,PFKFB3; 6-phosphofructo-2-kinase / fructose-26-biphosphatase 3&#160;,0,1.64E-05,0,0,2.6E-05,0,0,0,0,0,0,0,0,0,0,0,2.26E-05,0,0,0
K01035,K01035: acetate CoA-transferase beta subunit,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,atoA; acetate CoA/acetoacetate CoA-transferase beta subunit,0,0,0.000106727,0,4.87E-05,0,0,0,4.63E-05,0.000117941,4.34E-05,0,0,0,5.28E-05,0,0,7.08E-05,0,0
K01034,K01034: acetate CoA-transferase alpha subunit,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit,8.66E-05,6.14E-05,0.000138909,8.26E-05,0,4.16E-05,7.1E-05,0,9.3E-05,0.000117941,4.38E-05,0,6.42E-05,5.48E-05,0.000106535,0,4.31E-05,0,0.000105427,0.0001194
K01039,K01039: glutaconate CoA-transferase subunit A,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,gctA; glutaconate CoA-transferase subunit A,1.96E-05,2.09E-05,2.38E-05,5.6E-05,3.28E-05,2.78E-05,4.75E-05,0,3.19E-05,0,0,0,0,0,0,0,8.63E-05,4.76E-05,0,4.03E-05
K01580,K01580: glutamate decarboxylase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,E4.1.1.15 gadB gadA GAD; glutamate decarboxylase,0.000210641,0.000181423,6.47E-05,0.000300317,0.000219603,0.000369865,0.000573974,0.000103071,0.000255141,0.000322089,0.000259359,0,0.000288298,0.000245261,0.000382187,0.000340123,0.000270876,0.00018995,0.00051737,0.000325257
K01639,K01639: N-acetylneuraminate lyase,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,E4.1.3.3 nanA NPL; N-acetylneuraminate lyase,0.000288486,0.000331133,0.000435156,0.000416416,0.000553511,0.000498039,0.000399864,0.000392578,0.000604908,0.000499521,0.000408601,0,0.000315588,0.00050128,0.000449499,0.000322334,0.000333094,0.000450775,0.000666488,0.000212223
K01638,K01638: malate synthase,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,E2.3.3.9 aceB glcB; malate synthase,3.53E-05,5.92E-05,4.66E-05,2.4E-05,4.36E-05,5.36E-05,0,0,0,0.000248354,0,0,0,0,0,0.000120699,0,7.06E-05,0,0
K01637,K01637: isocitrate lyase,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,E4.1.3.1 aceA; isocitrate lyase,1.43E-05,1.52E-05,3.49E-05,0,7.08E-05,4.11E-05,0,0,0,5.65E-05,0,0,0,0,0,0,0,3.48E-05,0,0
K01631,K01631: 2-dehydro-3-deoxyphosphogalactonate aldolase,Metabolism,Carbohydrate metabolism,Galactose_metabolism,dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase,0,9.89E-05,6.62E-05,8.91E-05,0,3.81E-05,0,0,0,0.000126743,0,0,0,0,0,0,0,0.000205888,0,0
K01630,K01630: 2-dehydro-3-deoxyglucarate aldolase,Metabolism,Carbohydrate metabolism,Ascorbate_and_aldarate_metabolism,garL; 2-dehydro-3-deoxyglucarate aldolase,0,7.72E-05,2.91E-05,0,4.09E-05,3.47E-05,0,0,0,9.58E-05,0,0,0,0,0,0.000123058,3.56E-05,5.92E-05,8.81E-05,0
K13019,K13019,Metabolism,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,wbpI wlbD; UDP-GlcNAc3NAcA epimerase,1.65E-05,0,0,0,0,2.34E-05,3.99E-05,0,0,0,7.87E-05,0,0,0,0,0,7.54E-05,0,0,0
