Gene,Name,Category,SuperPathway,SubPathway,KOAnnot,A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,S,J,Q,R,T
K00001,K00001: alcohol dehydrogenase,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E1.1.1.1 adh; alcohol dehydrogenase,0.000611303,0.000502313,0.000582104,0.000709643,0.000668362,0.00070675,0.000627423,0.00048989,0.000572472,0.000626929,0.000608951,0.0004986,0.000713078,0.000665271,0.000608546,0.000682444,0.000594689,0.000557456,0.000544731,0.000651904
K00002,K00002: alcohol dehydrogenase (NADP+),Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,AKR1A1 adh; alcohol dehydrogenase (NADP+),8.86E-05,9.6E-05,0.000103212,2.69E-05,9.65E-05,0.000102634,7.14E-05,9.2E-05,0.000113624,6.01E-05,8.56E-05,0.000103764,0.000106484,8.77E-05,0.000109528,5.5E-05,0.000129105,7.79E-05,8.23E-05,5.97E-05
K00004,K00004: (RR)-butanediol dehydrogenase,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,BDH butB; (RR)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase,1.24E-05,0,0,1.43E-05,0,5.45E-06,0,0,0,1.08E-05,1.16E-05,0,0,0,0,1.44E-05,0,0,0,0
K00005,K00005: glycerol dehydrogenase,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,gldA; glycerol dehydrogenase,0.000240599,0.000168212,0.000198474,0.000215849,0.000212035,0.00025137,0.000269827,0.000203802,0.000209547,0.000303942,0.000327657,0.00020256,0.000220261,0.000236482,0.000146596,0.000296317,0.000233893,0.000334024,0.000243261,0.000201362
K00007,K00007: D-arabinitol 4-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,dalD; D-arabinitol 4-dehydrogenase,0,0,6.19E-06,0,0,5.52E-06,0,0,0,0,0,1.62E-05,3.46E-05,0,4.67E-06,5.56E-06,0,0,0,0
K00008,K00008: L-iditol 2-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,SORD gutB; L-iditol 2-dehydrogenase,0.000615961,0.000273079,0.000241875,0.000253215,0.000316432,0.000386443,0.000316048,0.000241123,0.000186767,0.000287133,0.000358023,0.000306665,0.000206454,0.00024964,0.000190183,0.00023683,0.000231225,0.000205984,0.000305935,0.000308822
K00009,K00009: mannitol-1-phosphate 5-dehydrogenase,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,mtlD; mannitol-1-phosphate 5-dehydrogenase,0.000140737,6.65E-05,0.000121972,2.73E-05,8.26E-05,0.000105526,0.000102212,0.000106558,7.67E-05,0.000104179,6.68E-05,0.000112763,0.000112773,0.000132534,6.16E-05,7.83E-05,9.36E-05,8.74E-05,0.000101907,8.11E-05
K00010,K00010: myo-inositol 2-dehydrogenase,Metabolism,Carbohydrate metabolism,Inositol_phosphate_metabolism,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase,0.00029775,0.000132726,0.000223254,0.000125052,0.000211696,0.000305972,0.000173385,0.000198266,0.000258742,0.000327936,0.000326656,0.000175313,0.000189762,0.000256164,0.000228762,0.000270444,0.000183471,0.000313038,0.000200298,0.000216881
K00011,K00011: aldehyde reductase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,E1.1.1.21 AKR1; aldehyde reductase,5.34E-05,1.78E-05,7.33E-05,0,7.5E-05,4.05E-05,6.25E-05,6.17E-05,7.98E-05,6.33E-05,3.93E-05,4.79E-05,5.31E-05,1.25E-05,5.51E-05,5.71E-05,6.7E-05,6.37E-05,7.37E-05,7.22E-05
K00012,K00012: UDPglucose 6-dehydrogenase,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,UGDH ugd; UDPglucose 6-dehydrogenase,0.00071579,0.000991384,0.000642216,0.00107754,0.000717108,0.000817304,0.000857899,0.000890172,0.000780672,0.000779015,0.000823426,0.000717532,0.000977237,0.000780411,0.000908902,0.000870759,0.000732823,0.00073736,0.000603451,0.000715214
