	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	ref	ERR688513	ERR688523	ERR688534	ERR688548	ERR688557	ERR688560	ERR688561	ERR688574	ERR688580	ERR688581	ERR688589	ERR688613	ERR688615	ERR688623	ERR688627	ERR688632	ERR688635	ERR688638	ERR688642	ERR688650	ERR710424	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gi|1002525|gb|AAC83383.1|										2.0										1.0			1.0	1.0			1.0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	gi|10053855|gb|AAE30762.1|	1.0	1.0			1.0	1.0	1.0	3.0	1.0	2.0		1.0	2.0	2.0	1.0	2.0	1.0		1.0	3.0		1.0	1.0	1.0	1.0	1.0	1.0
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	gi|10059898|gb|AAE36427.1|										1.0												1.0					1.0
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	gi|10059904|gb|AAE36430.1|	1.0	1.0	1.0	1.0	1.0		1.0			1.0	1.0	1.0		3.0			2.0		1.0	1.0			1.0		1.0		
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	gi|10173399|dbj|BAB04504.1|						1.0							1.0												1.0		
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	gi|10173683|dbj|BAB04787.1|		1.0							1.0		1.0					1.0	1.0					1.0		1.0			
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	gi|10174724|dbj|BAB05824.1|	1.0	2.0	1.0	1.0		1.0			2.0	1.0	3.0	2.0	2.0	2.0	5.0	4.0	5.0		2.0	1.0	1.0	5.0	4.0	3.0	1.0	3.0	2.0
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	gi|10174847|dbj|BAB05947.1|		3.0	1.0		2.0	1.0		2.0	3.0		9.0	1.0	1.0	5.0	1.0	1.0	2.0		3.0						1.0		
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	gi|10176307|dbj|BAB07402.1|		2.0	2.0	3.0		1.0		2.0	1.0	1.0	2.0	2.0		4.0	1.0	2.0	2.0		2.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	gi|104303689|gb|ABF72116.1|	1.0		1.0	1.0	1.0	1.0		2.0			1.0	1.0	2.0	2.0	1.0	2.0	1.0						1.0	1.0	1.0		2.0
