ID,NAME,CSM5LLGB.kegg.e-40.m8-hit-keg-cat,CSM6J2H9.kegg.e-40.m8-hit-keg-cat,CSM79HGR.kegg.e-40.m8-hit-keg-cat,ESM5GEYX.kegg.e-40.m8-hit-keg-cat,ESM5GEYY.kegg.e-40.m8-hit-keg-cat,ESM5GEZ1.kegg.e-40.m8-hit-keg-cat,ESM5MEAB.kegg.e-40.m8-hit-keg-cat,ESM5MEB9.kegg.e-40.m8-hit-keg-cat,ESM5MEC7.kegg.e-40.m8-hit-keg-cat,ESM5MEDP.kegg.e-40.m8-hit-keg-cat,ESM5MEE2.kegg.e-40.m8-hit-keg-cat,ESM5MEEJ.kegg.e-40.m8-hit-keg-cat,ESM718U9.kegg.e-40.m8-hit-keg-cat,ESM7F5AE.kegg.e-40.m8-hit-keg-cat,HSM5MD6G.kegg.e-40.m8-hit-keg-cat,HSM5MD6S.kegg.e-40.m8-hit-keg-cat,HSM67VDR.kegg.e-40.m8-hit-keg-cat,HSM67VDT.kegg.e-40.m8-hit-keg-cat,HSM6XRQC.kegg.e-40.m8-hit-keg-cat,HSM6XRTE.kegg.e-40.m8-hit-keg-cat,HSM7CZ2X.kegg.e-40.m8-hit-keg-cat,HSM7J4JV.kegg.e-40.m8-hit-keg-cat,HSMA33J1.kegg.e-40.m8-hit-keg-cat,mock_even_lc-hit-keg-cat
RANDSID,RANDSID, , , , , , , , , , , , , , , , , , , , , , , , 
START,START, , , , , , , , , , , , , , , , , , , , , , , , 
GENDER,GENDER, , , , , , , , , , , , , , , , , , , , , , , , 
VISNO,VISNO, , , , , , , , , , , , , , , , , , , , , , , , 
STSite,STSite, , , , , , , , , , , , , , , , , , , , , , , , 
Parent_Specimen,Parent_Specimen, , , , , , , , , , , , , , , , , , , , , , , , 
Run ID,Run ID, , , , , , , , , , , , , , , , , , , , , , , , 
Lane,Lane, , , , , , , , , , , , , , , , , , , , , , , , 
SRS,SRS, , , , , , , , , , , , , , , , , , , , , , , , 
Mean Quality,Mean Quality, , , , , , , , , , , , , , , , , , , , , , , , 
Number of Quality Bases,Number of Quality Bases, , , , , , , , , , , , , , , , , , , , , , , , 
Percent of Human Reads,Percent of Human Reads, , , , , , , , , , , , , , , , , , , , , , , , 
Unique Non-Human Bases,Unique Non-Human Bases, , , , , , , , , , , , , , , , , , , , , , , , 
InverseSimpson,InverseSimpson,310,414.642,1054.1,1089.31,1285.86,1311.85,1096.87,1183.43,1151.8,908.043,1027.82,963.457,1348.6,975.975,4.21769,985.401,1045.42,881.092,1071.21,1032.46,1292.12,1027.57,1074.27,1189.72
Shannon,Shannon,6.20315,6.5487,7.31318,7.37719,7.59874,7.59236,7.37538,7.48617,7.50227,7.20464,7.33227,7.29978,7.56234,7.2888,1.69672,7.25857,7.35119,7.22355,7.31097,7.3384,7.59875,7.23868,7.30746,7.39908
Pielou,Pielou,0.730374,0.77106,0.861073,0.86861,0.894695,0.893944,0.868396,0.881441,0.883337,0.848293,0.86332,0.859495,0.890409,0.858202,0.199777,0.854643,0.865548,0.850519,0.860813,0.864042,0.894696,0.852301,0.8604,0.871186
Richness,Richness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00186,K00186: 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit,0,0,2.39098e-05,1.79434e-05,1.90645e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.25691e-05,0,2.00352e-05,0,0,2.80306e-05,0
K00187,K00187: 2-oxoisovalerate ferredoxin oxidoreductase beta subunit,0.000366355,0,1.73259e-05,3.90073e-05,1.38148e-05,1.60304e-05,0,0,3.68832e-05,9.43749e-05,0,4.23547e-05,0,1.97765e-05,0,2.84417e-05,7.28352e-05,7.08025e-05,0,5.72436e-05,0,4.6711e-05,5.33915e-05,0
K00184,K00184: molybdopterin oxidoreductase iron-sulfur binding subunit,0,0,4.34498e-05,0,3.56821e-05,0,0,0,0,4.73343e-05,0,5.44079e-05,7.93621e-05,0,0,0,6.23749e-05,2.36743e-05,0,8.67103e-05,0,0.000110056,6.85856e-05,1.97943e-07
K00185,K00185: molybdopterin oxidoreductase membrane subunit,0,0,1.86795e-05,0,3.24305e-05,0,0,2.70907e-05,0,3.3916e-05,0,0,0.000179557,2.32977e-05,0,0,0,5.08893e-05,0,2.05719e-05,0,0,3.3318e-05,0
K01369,K01369: legumain,0,0,1.77297e-05,0,2.82736e-05,0,0,0,0,0,4.48612e-05,2.16709e-05,0,2.02374e-05,0,2.91045e-05,0,2.41508e-05,0,0,8.28432e-05,0,0,0
K00183,K00183: molybdopterin oxidoreductase molybdopterin binding subunit,0,0.000114684,0,0,2.60082e-05,5.59037e-05,0,0,1.04057e-05,1.77504e-05,0,2.44845e-05,0,0,0,0,1.44414e-05,0,0,5.92846e-05,5.44019e-05,0,1.58015e-05,0
K00180,K00180: indolepyruvate ferredoxin oxidoreductase beta subunit,0,0.000409417,0.000646664,0.000553065,0.000409804,0.000322841,0.000646565,0.000381534,0.000459639,0.000547463,0.000359255,0.000264172,0.000394629,0.000443153,0,0.00049281,0.000483585,0.000643094,0.000168728,0.000762432,0.000236267,0.000579728,0.000666481,0.000354977
K07168,K07168: CBS domain-containing membrane protein,0,0,0,0,1.66814e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07628e-06
K01364,K01364: streptopain,0,0,6.30786e-05,1.57793e-05,3.35304e-05,0,0,2.64101e-05,2.23802e-05,0,0,5.14003e-05,0,2.40001e-05,0,0,8.83905e-05,0,0,0,0,5.6687e-05,0,0
K01361,K01361: lactocepin,0,0,0,2.01215e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01052e-06,0
K01362,K01362,0.00131245,0.00186136,0.000778783,0.000705761,0.000642864,0.000663036,0.000444523,0.000755768,0.000749919,0.000932679,0.000722128,0.000978932,0.000555078,0.000908034,0,0.00101664,0.000787557,0.00102019,0.00054913,0.00099946,0.000614973,0.000500833,0.00101258,0.00133011
K10110,K10110: maltose/maltodextrin transport system permease protein,0.000641121,0,0.000243701,0.000380309,0.000139995,0.000380397,0.000134075,0.000110219,0.000279989,0,0.000317881,0.000106058,0,0.000281849,0,0.000252163,0.000274791,0.000118879,0.000332882,0.000127986,0.000265224,0.000308865,0.000133407,0
K10111,K10111: maltose/maltodextrin transport system ATP-binding protein,0,0,0,1.63546e-05,3.34473e-05,1.93085e-05,4.72745e-05,5.46981e-05,2.56694e-05,0,2.69553e-05,0,6.35294e-05,2.52033e-05,0,0,0,0,0,0,3.79701e-05,0,0,5.43645e-05
K10112,K10112: maltose/maltodextrin transport system ATP-binding protein,0.00190253,0.00149378,0.000135374,0.000350562,0.000159007,0.000562428,0.000142609,0.000138647,0.000333291,7.79451e-05,0.000425652,0.00016393,0.000137107,0.000206398,0,0.000475123,0.000216908,0.000146639,8.84685e-05,0.000218298,0.000243551,0.000180088,0.000374709,0.000247258
K10116,K10116: maltooligosaccharide transport system ATP-binding protein,0,0,0,0,0,0,0,0,0,0,2.68096e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
K10117,K10117: multiple sugar transport system substrate-binding protein,0,0,1.92821e-05,0.0001013,1.59249e-05,0.000107237,0.000126902,9.80827e-05,6.16661e-05,3.50909e-05,0.000182453,4.8035e-05,0,6.61297e-05,0,0.000160444,0.000109232,5.18277e-05,7.55966e-05,6.539e-05,0.000104636,0.000156195,8.9543e-05,0
K10118,K10118: multiple sugar transport system permease protein,0,0,5.68591e-05,0.000150693,0.000110595,0.000207025,6.15704e-05,0.000176413,0.000152349,0,0.000138025,6.99497e-05,0,0.000162797,0,4.75342e-05,7.92556e-05,0,0.000224972,6.0671e-05,5.14391e-05,0.000155062,0,0
K10119,K10119: multiple sugar transport system permease protein,0,0,5.90588e-05,0.000135344,0,0.000136583,0,0.000145203,0.000126156,0,7.09274e-05,3.53934e-05,0,6.63066e-05,0,0.00014515,0,3.94437e-05,0.0002326,0.000125834,0.000159092,0.000238386,4.46163e-05,5.24636e-07
K11909,K11909: type VI secretion system protein VasI,0,0,0,0,0,8.34865e-05,0,0,0,0,0,0,0.000103139,0,0,0,5.63771e-05,0,0,0,6.1644e-05,0,0,0
