CSM5LLGB,CSM6J2H9,CSM79HGR,ESM5GEYX,ESM5GEYY,ESM5GEZ1,ESM5MEAB,ESM5MEB9,ESM5MEC7,ESM5MEDP,ESM5MEE2,ESM5MEEJ,ESM718U9,ESM7F5AE,HSM5MD6G,HSM5MD6S,HSM67VDR,HSM67VDT,HSM67VDX,HSM6XRQC,HSM6XRTE,HSM7CZ2X,HSM7J4JV,HSMA33J1,HSMA33NG,HSMA33P2,MSM5LLFG,MSM5LLFM,MSM5LLH2,MSM5LLHE,MSM5LLHV,MSM5LLI6,MSM5LLIK,MSM6J2JF,MSM6J2JH,MSM6J2M3,MSM6J2PQ,MSM79H52,MSM79H8J,MSM79H94,MSM79H9U,MSM79HCN,MSM79HF1,MSM9VZFJ,PSM6XBQM,PSM6XBRM,PSM6XBSE,PSM6XBSG,PSM6XBTZ,PSM6XBVY,PSM7J13U,PSM7J19X,PSM7J1B3,PSM7J1BN,PSM7J1C2,PSMA2651
0,0,2.39E-05,1.79E-05,1.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.26E-05,0,0,2.00E-05,0,0,2.80E-05,4.05E-05,0,0,0,0,0,0,0,0,2.12E-05,0,1.40E-05,0,3.55E-05,1.17E-05,0,0,0,2.18E-05,0,0,0,0,0,0,2.97E-05,0,3.29E-05,0,0,0,0
0.000366355,0,1.73E-05,3.90E-05,1.38E-05,1.60E-05,0,0,3.69E-05,9.44E-05,0,4.24E-05,0,1.98E-05,0,2.84E-05,7.28E-05,7.08E-05,2.84E-05,0,5.72E-05,0,4.67E-05,5.34E-05,5.88E-05,1.94E-05,0.000125941,0,0,0.000134259,0.00020787,0.000126654,0,3.08E-05,3.36E-05,1.02E-05,0,0.000103172,5.56E-05,4.92E-05,3.16E-05,8.51E-05,6.58E-05,3.13E-05,0,5.33E-05,0,9.74E-05,2.74E-05,8.92E-05,0,4.78E-05,0,0,0,4.36E-05
0,0,4.34E-05,0,3.57E-05,0,0,0,0,4.73E-05,0,5.44E-05,7.94E-05,0,0,0,6.24E-05,2.37E-05,2.69E-05,0,8.67E-05,0,0.000110056,6.86E-05,7.55E-05,0.000128,0,0,0,0,0,0,0,7.71E-06,0,0,9.26E-05,0,0,0,7.90E-06,0.000151159,0,0.000113348,0,6.88E-05,0,0,7.04E-05,1.13E-05,0.000101382,4.29E-05,4.74E-05,0,0.000114179,0
0,0,1.87E-05,0,3.24E-05,0,0,2.71E-05,0,3.39E-05,0,0,0.000179557,2.33E-05,0,0,0,5.09E-05,1.67E-05,0,2.06E-05,0,0,3.33E-05,3.67E-05,9.38E-05,0,0,0,0,0.000259435,0,0,1.66E-05,0,1.26E-05,0,0,2.69E-05,2.88E-05,3.67E-05,3.06E-05,0,0,3.83E-05,0,0,0,0,5.06E-05,0,0,0,0,0,0
0,0,1.77E-05,0,2.83E-05,0,0,0,0,0,4.49E-05,2.17E-05,0,2.02E-05,0,2.91E-05,0,2.42E-05,0,0,0,8.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,0,2.64E-05,1.14E-05,5.03E-05,0,2.90E-05,0,0,3.16E-05,2.73E-05,2.62E-05,0,0,2.30E-05,0,0,1.88E-05,0,0,0
0,0.000114684,0,0,2.60E-05,5.59E-05,0,0,1.04E-05,1.78E-05,0,2.45E-05,0,0,0,0,1.44E-05,0,0,0,5.93E-05,5.44E-05,0,1.58E-05,8.73E-05,3.67E-05,0,0,6.54E-05,0,0,7.53E-05,0,1.78E-05,0,0,1.02E-05,0,2.10E-05,2.77E-05,8.89E-06,5.05E-05,0,2.69E-05,1.84E-05,3.15E-05,0,0,0,1.33E-05,4.66E-05,0,1.09E-05,0,5.28E-05,0
0,0.000409417,0.000646664,0.000553065,0.000409804,0.000322841,0.000646565,0.000381534,0.000459639,0.000547463,0.000359255,0.000264172,0.000394629,0.000443153,0,0.00049281,0.000483585,0.000643094,0.000425355,0.000168728,0.000762432,0.000236267,0.000579728,0.000666481,0.000657477,0.000629467,0.000943911,0,0.000137833,0.000667717,0.000509651,0.000629078,0.000544707,0.000459326,0.000540555,0.000661871,0.000377955,0.000704795,0.000619579,0.000733495,0.000393976,0.000634497,0.000497539,0.000581353,0.000693011,0.000530041,0.0002556,0.000364532,0.00088581,0.00044199,0.000683085,0.000417908,0.000228787,0.000271145,0.000548618,0.000651817
0,0,0,0,1.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E-05,0,2.08E-05,0,0,0,0,0,0,0,0,0,0,0,5.34E-05,0
0,0,6.31E-05,1.58E-05,3.35E-05,0,0,2.64E-05,2.24E-05,0,0,5.14E-05,0,2.40E-05,0,0,8.84E-05,0,1.72E-05,0,0,0,5.67E-05,0,0,2.36E-05,0,0,0,0,0,0,0,5.60E-05,2.03E-05,2.46E-05,0,6.26E-05,1.35E-05,5.97E-05,1.91E-05,0,0,1.90E-05,3.75E-05,3.23E-05,0,0,9.98E-05,2.73E-05,4.76E-05,0,2.23E-05,0,5.36E-05,0
0,0,0,2.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
