Gene	NAME	CSM5LLGB.kegg.e-40.m8-hit-keg-cat	CSM6J2H9.kegg.e-40.m8-hit-keg-cat	CSM79HGR.kegg.e-40.m8-hit-keg-cat	ESM5GEYX.kegg.e-40.m8-hit-keg-cat	ESM5GEYY.kegg.e-40.m8-hit-keg-cat	ESM5GEZ1.kegg.e-40.m8-hit-keg-cat	ESM5MEAB.kegg.e-40.m8-hit-keg-cat	ESM5MEB9.kegg.e-40.m8-hit-keg-cat	ESM5MEC7.kegg.e-40.m8-hit-keg-cat	ESM5MEDP.kegg.e-40.m8-hit-keg-cat	ESM5MEE2.kegg.e-40.m8-hit-keg-cat	ESM5MEEJ.kegg.e-40.m8-hit-keg-cat	ESM718U9.kegg.e-40.m8-hit-keg-cat	ESM7F5AE.kegg.e-40.m8-hit-keg-cat	HSM5MD6G.kegg.e-40.m8-hit-keg-cat	HSM5MD6S.kegg.e-40.m8-hit-keg-cat	HSM67VDR.kegg.e-40.m8-hit-keg-cat	HSM67VDT.kegg.e-40.m8-hit-keg-cat	HSM6XRQC.kegg.e-40.m8-hit-keg-cat	HSM6XRTE.kegg.e-40.m8-hit-keg-cat	HSM7CZ2X.kegg.e-40.m8-hit-keg-cat	HSM7J4JV.kegg.e-40.m8-hit-keg-cat	HSMA33J1.kegg.e-40.m8-hit-keg-cat	mock_even_lc-hit-keg-cat	Category	SuperPathway	SubPathway	KOAnnot
K00186	K00186: 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit	0.0	0.0	2.3899999999999998e-05	1.7899999999999998e-05	1.91e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26e-05	0.0	2e-05	0.0	0.0	2.8000000000000003e-05	0.0	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit
K00187	K00187: 2-oxoisovalerate ferredoxin oxidoreductase beta subunit	0.000366355	0.0	1.73e-05	3.9e-05	1.3800000000000002e-05	1.6e-05	0.0	0.0	3.69e-05	9.44e-05	0.0	4.24e-05	0.0	1.98e-05	0.0	2.84e-05	7.28e-05	7.08e-05	0.0	5.720000000000001e-05	0.0	4.6700000000000003e-05	5.3400000000000004e-05	0.0	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit
K00184	K00184: molybdopterin oxidoreductase iron-sulfur binding subunit	0.0	0.0	4.34e-05	0.0	3.570000000000001e-05	0.0	0.0	0.0	0.0	4.73e-05	0.0	5.44e-05	7.94e-05	0.0	0.0	0.0	6.24e-05	2.37e-05	0.0	8.669999999999999e-05	0.0	0.000110056	6.86e-05	1.98e-07	None	None	None	None
K00185	K00185: molybdopterin oxidoreductase membrane subunit	0.0	0.0	1.87e-05	0.0	3.24e-05	0.0	0.0	2.71e-05	0.0	3.39e-05	0.0	0.0	0.000179557	2.33e-05	0.0	0.0	0.0	5.0900000000000004e-05	0.0	2.0600000000000003e-05	0.0	0.0	3.3299999999999996e-05	0.0	None	None	None	None
K01369	K01369: legumain	0.0	0.0	1.77e-05	0.0	2.8300000000000003e-05	0.0	0.0	0.0	0.0	0.0	4.49e-05	2.17e-05	0.0	2.02e-05	0.0	2.9100000000000003e-05	0.0	2.42e-05	0.0	0.0	8.28e-05	0.0	0.0	0.0	Cellular Processes	Transport and catabolism	Lysosome	LGMN; legumain
K00183	K00183: molybdopterin oxidoreductase molybdopterin binding subunit	0.0	0.000114684	0.0	0.0	2.6000000000000002e-05	5.59e-05	0.0	0.0	1.04e-05	1.7800000000000002e-05	0.0	2.45e-05	0.0	0.0	0.0	0.0	1.4400000000000001e-05	0.0	0.0	5.93e-05	5.44e-05	0.0	1.58e-05	0.0	None	None	None	None
K00180	K00180: indolepyruvate ferredoxin oxidoreductase beta subunit	0.0	0.000409417	0.000646664	0.000553065	0.000409804	0.000322841	0.000646565	0.000381534	0.000459639	0.000547463	0.000359255	0.000264172	0.000394629	0.000443153	0.0	0.00049281	0.000483585	0.000643094	0.000168728	0.000762432	0.00023626700000000002	0.0005797280000000001	0.000666481	0.00035497699999999997	None	None	None	None
K07168	K07168: CBS domain-containing membrane protein	0.0	0.0	0.0	0.0	1.67e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.08e-06	None	None	None	None
K01364	K01364: streptopain	0.0	0.0	6.31e-05	1.58e-05	3.35e-05	0.0	0.0	2.64e-05	2.24e-05	0.0	0.0	5.14e-05	0.0	2.4e-05	0.0	0.0	8.840000000000001e-05	0.0	0.0	0.0	0.0	5.67e-05	0.0	0.0	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	speB; streptopain
K01361	K01361: lactocepin	0.0	0.0	0.0	2.01e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.01e-06	0.0	None	None	None	None
