Gene,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Category,SuperPathway,SubPathway,KOAnnot
K00001,K00001: alcohol dehydrogenase,0.000611303,0.000502313,0.000582104,0.000709643,0.000668362,0.00070675,0.000627423,0.00048989,0.000572472,0.000594689,0.000626929,0.000608951,0.0004986,0.000713078,0.000665271,0.000608546,0.000557456,0.000544731,0.000682444,0.000651904,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,E1.1.1.1 adh; alcohol dehydrogenase
K00002,K00002: alcohol dehydrogenase (NADP+),8.86E-05,9.60E-05,0.000103212,2.69E-05,9.65E-05,0.000102634,7.14E-05,9.20E-05,0.000113624,0.000129105,6.01E-05,8.56E-05,0.000103764,0.000106484,8.77E-05,0.000109528,7.79E-05,8.23E-05,5.50E-05,5.97E-05,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,AKR1A1 adh; alcohol dehydrogenase (NADP+)
K00003,K00003: homoserine dehydrogenase,0.000545886,0.000439397,0.000694399,0.000405226,0.000562232,0.000624847,0.000810863,0.000609962,0.000589015,0.000640939,0.0007571,0.000774955,0.000588766,0.000562359,0.000673953,0.000651058,0.000679237,0.000713565,0.000576776,0.000622437,Metabolism,Amino acid metabolism,Glycine_serine_and_threonine_metabolism,E1.1.1.3; homoserine dehydrogenase
K00004,K00004: (RR)-butanediol dehydrogenase,1.24E-05,0,0,1.43E-05,0,5.45E-06,0,0,0,0,1.08E-05,1.16E-05,0,0,0,0,0,0,1.44E-05,0,Metabolism,Carbohydrate metabolism,Butanoate_metabolism,BDH butB; (RR)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
K00005,K00005: glycerol dehydrogenase,0.000240599,0.000168212,0.000198474,0.000215849,0.000212035,0.00025137,0.000269827,0.000203802,0.000209547,0.000233893,0.000303942,0.000327657,0.00020256,0.000220261,0.000236482,0.000146596,0.000334024,0.000243261,0.000296317,0.000201362,Metabolism,Carbohydrate metabolism,Propanoate_metabolism,gldA; glycerol dehydrogenase
K00006,K00006: glycerol-3-phosphate dehydrogenase (NAD+),0,8.17E-06,0,0,8.12E-06,0,0,0,0,0,0,0,0,1.12E-05,1.10E-05,0,0,0,0,7.95E-06,Metabolism,Lipid metabolism,Glycerophospholipid_metabolism,GPD1; glycerol-3-phosphate dehydrogenase (NAD+)
K00007,K00007: D-arabinitol 4-dehydrogenase,0,0,6.19E-06,0,0,5.52E-06,0,0,0,0,0,0,1.62E-05,3.46E-05,0,4.67E-06,0,0,5.56E-06,0,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,dalD; D-arabinitol 4-dehydrogenase
K00008,K00008: L-iditol 2-dehydrogenase,0.000615961,0.000273079,0.000241875,0.000253215,0.000316432,0.000386443,0.000316048,0.000241123,0.000186767,0.000231225,0.000287133,0.000358023,0.000306665,0.000206454,0.00024964,0.000190183,0.000205984,0.000305935,0.00023683,0.000308822,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,SORD gutB; L-iditol 2-dehydrogenase
K00009,K00009: mannitol-1-phosphate 5-dehydrogenase,0.000140737,6.65E-05,0.000121972,2.73E-05,8.26E-05,0.000105526,0.000102212,0.000106558,7.67E-05,9.36E-05,0.000104179,6.68E-05,0.000112763,0.000112773,0.000132534,6.16E-05,8.74E-05,0.000101907,7.83E-05,8.11E-05,Metabolism,Carbohydrate metabolism,Fructose_and_mannose_metabolism,mtlD; mannitol-1-phosphate 5-dehydrogenase
K00010,K00010: myo-inositol 2-dehydrogenase,0.00029775,0.000132726,0.000223254,0.000125052,0.000211696,0.000305972,0.000173385,0.000198266,0.000258742,0.000183471,0.000327936,0.000326656,0.000175313,0.000189762,0.000256164,0.000228762,0.000313038,0.000200298,0.000270444,0.000216881,Metabolism,Carbohydrate metabolism,Inositol_phosphate_metabolism,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00011,K00011: aldehyde reductase,5.34E-05,1.78E-05,7.33E-05,0,7.50E-05,4.05E-05,6.25E-05,6.17E-05,7.98E-05,6.70E-05,6.33E-05,3.93E-05,4.79E-05,5.31E-05,1.25E-05,5.51E-05,6.37E-05,7.37E-05,5.71E-05,7.22E-05,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,E1.1.1.21 AKR1; aldehyde reductase
K00012,K00012: UDPglucose 6-dehydrogenase,0.00071579,0.000991384,0.000642216,0.00107754,0.000717108,0.000817304,0.000857899,0.000890172,0.000780672,0.000732823,0.000779015,0.000823426,0.000717532,0.000977237,0.000780411,0.000908902,0.00073736,0.000603451,0.000870759,0.000715214,Metabolism,Carbohydrate metabolism,Pentose_and_glucuronate_interconversions,UGDH ugd; UDPglucose 6-dehydrogenase
K00013,K00013: histidinol dehydrogenase,0.000487968,0.000551902,0.000565352,0.000579662,0.000615076,0.000583604,0.000612887,0.000553666,0.000607817,0.00056314,0.000619243,0.000566103,0.000496653,0.000631683,0.000599312,0.000545521,0.000602499,0.000588136,0.000677903,0.000565741,Metabolism,Amino acid metabolism,Histidine_metabolism,hisD; histidinol dehydrogenase
K00014,K00014: shikimate 5-dehydrogenase,0.000745399,0.000850262,0.000871907,0.000918332,0.000821678,0.000947263,0.000943428,0.000793948,0.000769956,0.000866169,0.00103064,0.000973073,0.00083667,0.0010704,0.000934714,0.000767699,0.000924956,0.000946165,0.000935018,0.000819336,Metabolism,Amino acid metabolism,Phenylalanine_tyrosine_and_tryptophan_biosynthesis,aroE; shikimate dehydrogenase
K00015,K00015: glyoxylate reductase,3.83E-05,4.38E-05,9.04E-06,1.59E-05,4.46E-05,4.11E-05,3.61E-05,4.43E-05,3.51E-05,3.18E-05,4.85E-05,1.33E-05,6.14E-05,6.13E-05,8.43E-05,4.70E-05,6.20E-05,8.12E-06,7.15E-05,4.41E-05,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,gyaR; glyoxylate reductase
K00016,K00016: L-lactate dehydrogenase,0.000595614,0.000440668,0.000588167,0.000520564,0.000589318,0.000549653,0.000478627,0.000441322,0.000605842,0.000532394,0.000590186,0.000601567,0.00045936,0.000394987,0.000476987,0.000592986,0.000559949,0.000550811,0.000534981,0.000547909,Metabolism,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,LDH ldh; L-lactate dehydrogenase
K00018,K00018: glycerate dehydrogenase,0.000541989,0.000548785,0.000473014,0.000481478,0.000529404,0.00057031,0.000571522,0.000439703,0.000518093,0.000430196,0.000376841,0.000418128,0.000507782,0.00045321,0.000507605,0.000496049,0.000406842,0.000547355,0.00042186,0.00050077,Metabolism,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,hprA; glycerate dehydrogenase
