State,CA
K10592,4.40764E-08
K10595,8.0912E-08
K12743,9.71904E-08
K13908,1.02857E-07
K04962,1.049224E-07
K11853,1.420576E-07
K11262,1.432016E-07
K11127,1.520484E-07
K11661,1.548482E-07
K12436,1.659732E-07
K05642,1.660958E-07
K08132,1.661822E-07
K00668,1.80853E-07
K10352,1.81948E-07
K14541,1.965704E-07
K10798,1.968876E-07
K12603,2.01838E-07
K04961,2.043084E-07
K14437,2.1162E-07
K05648,2.3205E-07
K10384,2.45528E-07
K13339,2.52868E-07
K04877,2.55164E-07
K02324,1.32454E-07
K11647,2.727638E-07
K05674,2.82286E-07
K05850,3.00088E-07
K12237,3.06348E-07
K05652,3.12432E-07
K11665,3.15596E-07
K11643,3.28296E-07
K07187,3.31952E-07
K04963,3.349146E-07
K11429,3.35454E-07
K09265,3.48958E-07
K03010,3.52156E-07
K08827,3.54702E-07
K14489,3.5608E-07
K10645,3.60282E-07
K11005,3.70968E-07
K13402,3.7813E-07
K05671,3.8533E-07
K10413,3.88468E-07
K00667,3.9915E-07
K04309,4.09814E-07
K12879,2.06592E-07
K03018,2.08369E-07
K13023,4.25974E-07
K11021,4.30056E-07
K10817,4.41121E-07
K14313,4.44076E-07
K03130,4.46838E-07
K14306,4.51798E-07
K08589,4.58818E-07
K01702,4.72174E-07
K11795,4.81392E-07
K11356,4.82116E-07
K01954,4.850924E-07
K12949,4.85952E-07
K09667,4.86604E-07
K14575,4.87892E-07
K12397,4.9403E-07
K03006,4.97756E-07
K13114,5.10316E-07
K14572,5.277986E-07
K07299,5.31796E-07
K01469,5.33618E-07
K10143,5.3532E-07
K09942,5.35392E-07
K07603,5.36822E-07
K01229,5.44326E-07
K07605,5.53566E-07
K12953,5.5489E-07
K10615,5.59838E-07
K11644,5.64382E-07
K08656,5.73136E-07
K07578,5.74702E-07
K05334,5.7793E-07
K13731,5.81598E-07
K11984,5.85316E-07
K10380,5.90956E-07
K03235,5.9183E-07
K01120,5.92988E-07
K00376,5.9479E-07
K00317,5.98428E-07
K08848,6.10178E-07
K01434,6.23086E-07
K06823,6.25644E-07
K10062,6.30936E-07
K08652,6.32008E-07
K04605,6.38312E-07
K14376,6.40272E-07
K14538,6.44764E-07
K12898,6.46894E-07
K12952,6.51518E-07
K00315,6.52392E-07
K04876,6.60194E-07
K03511,6.6222E-07
K03520,6.62322E-07
K14001,6.6334E-07
K05679,6.65132E-07
K11143,6.75324E-07
K14553,6.759E-07
K05668,6.77492E-07
K09487,6.8637E-07
K03254,3.43777E-07
K12444,6.9024E-07
K01390,6.94338E-07
K12381,6.9639E-07
K14210,7.00128E-07
K13184,7.0276E-07
K10746,7.07878E-07
K11536,7.0851E-07
K10843,7.14182E-07
K01202,7.24638E-07
K05577,7.26736E-07
K14012,7.293E-07
K05236,7.31816E-07
K13680,7.3428E-07
K12813,7.3683E-07
K13611,7.372284E-07
K01410,7.37586E-07
K14339,7.39832E-07
K02486,7.45066E-07
K12443,7.47652E-07
K00862,7.52636E-07
K04792,7.55674E-07
K11658,7.6097E-07
K04789,7.801168E-07
K01957,7.82744E-07
K06260,7.93976E-07
K06261,7.96412E-07
K14159,7.98274E-07
K09518,8.00016E-07
K09669,8.03478E-07
K01490,8.09718E-07
K10448,8.15218E-07
K13415,8.20092E-07
K12869,8.34632E-07
K05853,8.34718E-07
K12428,8.3539E-07
K14286,8.38054E-07
K06026,8.40294E-07
K14326,8.40812E-07
K03857,8.4166E-07
K04306,8.53228E-07
K03891,8.62136E-07
K06272,8.7555E-07
K12688,4.42997E-07
K05038,8.87426E-07
K12835,8.9548E-07
K04116,9.11386E-07
K12680,4.5645E-07
K10866,9.13058E-07
K06544,9.1656E-07
K06160,9.19734E-07
K12812,9.20874E-07
K13836,9.23046E-07
K10977,9.34714E-07
K01536,9.36292E-07
K07218,9.3854E-07
K13939,9.49E-07
K00255,9.51708E-07
K00360,4.822E-07
K02999,9.70822E-07
K14262,4.93109E-07
K13490,9.88486E-07
K12422,9.92714E-07
K02827,9.95432E-07
K11442,9.98396E-07
K14258,1.000348E-06
K11325,1.011296E-06
K07786,1.01418E-06
K00148,1.024532E-06
K00273,1.025218E-06
K08740,1.026642E-06
K14335,1.027222E-06
K11914,1.032326E-06
K13997,1.034384E-06
K14449,1.040932E-06
K07540,1.056944E-06
K13416,1.058558E-06
K08711,1.076898E-06
K10235,1.078158E-06
K13503,1.080416E-06
K11322,1.092544E-06
K11520,1.09318E-06
K13854,1.097804E-06
K08135,7.51671E-07
K13116,1.101546E-06
K11407,1.105076E-06
K06683,1.11125E-06
K13412,1.121514E-06
K05977,1.12787E-06
K02204,1.13089E-06
K05565,1.135334E-06
K09607,1.136544E-06
K01204,1.138512E-06
K11170,1.141022E-06
K04342,1.156482E-06
K10385,1.161334E-06
K00220,5.82766E-07
K08716,1.166878E-06
K13702,1.166898E-06
K11169,1.168276E-06
K11226,1.168806E-06
K03680,1.170634E-06
K06900,1.17438E-06
K03391,1.175114E-06
K12886,1.184566E-06
K00085,1.185782E-06
K03843,1.198506E-06
K05653,1.199538E-06
K13830,1.211044E-06
K09711,1.211678E-06
K04037,1.213274E-06
K01293,1.21384E-06
K10832,1.217296E-06
K14519,1.219126E-06
K00369,6.12233E-07
K01530,1.224558E-06
K13573,1.226864E-06
K11441,1.238518E-06
K12993,1.24225E-06
K13837,1.244626E-06
K13143,9.40979E-07
K00601,1.263478E-06
K12541,1.265156E-06
K08346,1.266564E-06
K05573,1.27151E-06
K12423,1.28104E-06
K02704,1.286588E-06
K00643,1.28883E-06
K11131,1.29426E-06
K01347,1.297748E-06
K08850,1.304676E-06
K11786,1.31047E-06
K08261,1.327562E-06
K13070,1.337254E-06
K11594,1.341494E-06
K04573,1.344042E-06
K06292,1.364606E-06
K04228,1.368654E-06
K03115,1.369174E-06
K06296,1.372062E-06
K02705,1.37635E-06
K00504,1.378064E-06
K08330,1.387486E-06
K12581,1.3942206E-06
K08149,1.400938E-06
K11971,1.403046E-06
K10815,1.403046E-06
K04648,1.404238E-06
K09799,1.410602E-06
K07672,1.418012E-06
K10025,1.420182E-06
K13509,1.423172E-06
K14570,1.429966E-06
K05327,1.4312522E-06
K10115,1.460342E-06
K12316,1.460818E-06
K08776,9.63794E-07
K06119,1.47545E-06
K12355,1.477928E-06
