State,Ctl
K12549,3.52557777777778E-08
K04962,4.17598888888889E-08
K10953,4.47336666666667E-08
K09187,4.98735555555556E-08
K11320,6.7341E-08
K02999,7.09226666666667E-08
K12436,7.40751111111111E-08
K11853,8.4919E-08
K04961,9.25061111111111E-08
K04877,1.01557444444444E-07
K03125,1.13131111111111E-07
K01954,1.41874444444444E-07
K11029,1.50191111111111E-07
K06084,1.52915555555556E-07
K12678,1.53202222222222E-07
K13649,1.56393333333333E-07
K01469,1.57043333333333E-07
K12444,1.58001111111111E-07
K11407,1.60707777777778E-07
K13143,1.64404444444444E-07
K10742,1.68285555555556E-07
K06636,1.69124444444444E-07
K11422,1.85991111111111E-07
K14548,1.8737E-07
K13582,1.88512222222222E-07
K14326,1.89084444444444E-07
K01229,1.89953333333333E-07
K11682,1.93155555555556E-07
K06265,1.98732222222222E-07
K14489,2.00844444444444E-07
K13298,2.04825555555556E-07
K10817,2.0545E-07
K10592,2.08680555555556E-07
K13810,2.12186666666667E-07
K12822,2.1564E-07
K05671,2.19436666666667E-07
K04952,2.24188888888889E-07
K13908,2.27055666666667E-07
K10864,2.30657777777778E-07
K12442,2.32393333333333E-07
K00289,2.36464444444444E-07
K12815,2.39096666666667E-07
K08135,2.40536666666667E-07
K04228,2.41527777777778E-07
K12166,2.47708888888889E-07
K12743,2.48278111111111E-07
K10798,2.51479777777778E-07
K07187,2.54613333333333E-07
K03114,2.62937777777778E-07
K01702,2.66326666666667E-07
K14575,2.68053333333333E-07
K07603,2.74814444444444E-07
K08776,2.7484E-07
K01347,2.79202222222222E-07
K04792,2.80873333333333E-07
K06666,2.8585E-07
K14567,2.89478888888889E-07
K00665,2.94576111111111E-07
K02592,2.96295555555556E-07
K12478,2.98658888888889E-07
K01530,3.04688888888889E-07
K08863,3.05933333333333E-07
K10695,3.09385555555556E-07
K12327,3.11194444444444E-07
K08825,3.12598888888889E-07
K12450,3.13135555555556E-07
K06823,3.15988888888889E-07
K10062,3.17536666666667E-07
K04926,3.20417777777778E-07
K12071,3.24442222222222E-07
K09338,3.245E-07
K05746,3.24637777777778E-07
K07514,3.25397777777778E-07
K08770,3.27526666666667E-07
K01214,3.27664444444444E-07
