ID	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat
RANDSID	RANDSID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
START	START	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
GENDER	GENDER	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VISNO	VISNO	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
STSite	STSite	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parent_Specimen	Parent_Specimen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Run ID	Run ID	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lane	Lane	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SRS	SRS	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mean Quality	Mean Quality	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Number of Quality Bases	Number of Quality Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Percent of Human Reads	Percent of Human Reads	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Unique Non-Human Bases	Unique Non-Human Bases	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
InverseSimpson	InverseSimpson	1257.69	1	1293.35	1123.39	1177.52	1180.75	1127.05	1095.02	1127.29	1182.43	1039.28	1103.64	1058.63	1072.26	1099.58	1129.55	1	1374.5	1134.92	1154.84	1104.13	1082.72	1074.13	1112.56	1123.55	1091.95	1065.75	1133.93	1189.72
Shannon	Shannon	7.56832	0	7.61317	7.45327	7.54402	7.50414	7.5197	7.39725	7.44391	7.51161	7.36511	7.42961	7.37472	7.41742	7.39965	7.44104	0	7.69505	7.49934	7.47095	7.35092	7.40133	7.3748	7.4245	7.46078	7.42721	7.32433	7.43034	7.39908
Pielou	Pielou	0.870321	0	0.875478	0.857091	0.867527	0.862941	0.86473	0.850649	0.856015	0.8638	0.846953	0.85437	0.848058	0.852968	0.850925	0.855684	0	0.884895	0.862389	0.859124	0.845321	0.851118	0.848067	0.853782	0.857955	0.854094	0.842263	0.854454	0.850859
Richness	Richness	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
K01369	K01369: legumain	0	0	0	0	0	0	0	3.88143e-06	0	8.66518e-06	0	0	0	0	7.9759e-06	1.21058e-05	0	1.71231e-05	1.64381e-05	1.10013e-05	0	0	3.94073e-06	1.39196e-05	4.98304e-06	0	0	1.57499e-05	0
K01364	K01364: streptopain	1.09525e-05	0	8.17856e-06	0	0	0	0	2.30156e-05	2.6489e-05	1.96669e-05	0	0	0	5.46375e-06	2.26281e-05	4.18145e-05	0	0	6.30873e-06	1.95702e-05	2.64217e-05	1.35764e-05	4.67343e-06	5.32002e-06	1.18191e-05	0	0	9.27943e-06	0
K04337	K04337: curli production assembly/transport component CsgE	2.50523e-05	0	1.87073e-05	2.12771e-05	2.57964e-05	2.67907e-05	5.29211e-05	0	1.51475e-05	1.12463e-05	0	1.41116e-05	0	0	0	0	0	4.64489e-05	1.44303e-05	1.49213e-05	0	0	0	0	1.79542e-05	2.64568e-05	0	0	0
K01361	K01361: lactocepin	1.12677e-05	0	7.58924e-06	1.35875e-05	3.4387e-05	5.4585e-05	9.66444e-05	2.92143e-05	2.49209e-05	3.19499e-05	3.58023e-05	1.52952e-05	5.26396e-05	1.19802e-05	1.95385e-05	3.45319e-05	0	5.83358e-05	1.00482e-05	8.58242e-06	0	5.32527e-06	2.7913e-05	4.80092e-05	1.73666e-05	6.08524e-06	3.35311e-06	1.57474e-05	0
K01362	K01362	0.00104953	0	0.00104882	0.00130932	0.000983136	0.0012699	0.0011848	0.00108326	0.00119215	0.00109091	0.00120328	0.00128263	0.00134038	0.00103937	0.00123555	0.00117016	0	0.000617185	0.000934516	0.00103264	0.000809008	0.00121834	0.00116348	0.00115686	0.00112605	0.00100313	0.000921277	0.000838952	0.00133011
K05841	K05841: sterol 3beta-glucosyltransferase	7.08796e-06	0	0	0	0	0	0	0	1.24479e-05	6.36374e-06	2.59695e-05	7.44793e-06	0	3.53589e-06	2.92878e-06	6.01342e-06	0	0	8.16542e-06	8.44324e-06	0	4.39302e-06	7.45308e-06	4.77875e-06	5.59999e-06	0	9.34872e-06	8.79336e-06	0
K05844	K05844: ribosomal protein S6 modification protein	5.59865e-05	0	3.14404e-05	1.17904e-05	7.28134e-05	3.02814e-05	2.93255e-05	3.06405e-05	5.27813e-05	2.59324e-05	5.58129e-05	3.99667e-05	4.06029e-05	3.62337e-05	3.01402e-05	2.4479e-05	0	5.14784e-05	4.16188e-05	2.52203e-05	3.55264e-05	1.7923e-05	4.34042e-05	3.42898e-05	3.88259e-05	1.53963e-05	3.95062e-05	6.20946e-05	0
K05845	K05845: osmoprotectant transport system substrate-binding protein	0.000230524	0	0.000173983	9.13908e-05	0.000260872	0.000278048	0.000240682	0.000138696	7.54356e-05	0.000118379	6.07149e-05	9.6328e-05	0.000289489	0.000203289	8.64514e-05	0.000155511	0	0.000478808	0.000218701	8.85468e-05	8.31327e-05	0.000174236	5.67412e-05	8.50463e-05	7.03615e-05	0.000200544	0	4.29204e-05	6.79105e-05
K08566	K08566: plasminogen activator	1.60852e-05	0	1.04329e-05	0	1.43864e-05	0	0	0	0	0	0	7.8699e-06	0	0	0	0	0	2.59041e-05	0	0	0	0	0	0	0	0	0	0	0
K08567	K08567: hydrogenase 2 maturation protease	0.000128016	0	5.96898e-05	0.000155952	8.2309e-05	0.000213511	0.000113385	6.60547e-05	9.59638e-05	0.000100031	4.87747e-05	0.000102671	7.47267e-05	3.86258e-05	7.73066e-05	3.43988e-05	0	0.000132468	0.000137352	4.79912e-05	0	9.74108e-05	5.76417e-05	6.21819e-05	8.39971e-05	2.32499e-05	0	4.5476e-05	0
K00508	K00508: linoleoyl-CoA desaturase	2.44207e-05	0	0	0	0	1.30576e-05	2.57933e-05	0	0	0	0	0	0	0	0	0	0	2.26388e-05	0	0	0	0	0	0	0	0	0	0	0
