Gene	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat
K00001	K00001: alcohol dehydrogenase	0.000671685	0	0.00067476	0.000629928	0.000911925	0.000721184	0.000717681	0.000651959	0.000798848	0.000710039	0.000611734	0.00069665	0.000752083	0.000841507	0.000580188	0.000663022	0	0.000597875	0.000757947	0.000697373	0.000608845	0.000874238	0.000450336	0.000702708	0.000563914	0.000521963	0.000518923	0.00066209	0.000292442
K00002	K00002: alcohol dehydrogenase (NADP+)	7.77E-05	0	8.95E-05	3.36E-05	5.15E-05	8.41E-05	2.52E-05	8.74E-05	9.13E-05	0.000150328	0.00012499	5.95E-05	8.88E-05	0.000119416	0.000109033	0.000115244	0	2.91E-05	0.000104209	8.88E-05	5.83E-05	7.98E-05	8.89E-05	6.89E-05	6.69E-05	7.76E-05	0	0.000100966	9.42E-05
K00003	K00003: homoserine dehydrogenase	0.000639964	0	0.000621914	0.000720203	0.000663116	0.000762287	0.000581379	0.000621816	0.000679308	0.000572369	0.00066363	0.000721671	0.000780726	0.000652681	0.000601421	0.000644731	0	0.000364174	0.000551482	0.000693444	0.000682891	0.000556879	0.000587936	0.00061116	0.000624677	0.000563416	0.000608058	0.00059224	0.000472474
K00004	K00004: (R-R)-butanediol dehydrogenase	0	0	1.87E-05	1.09E-05	1.26E-05	2.61E-05	5.17E-05	0	0	5.45E-06	0	0	1.18E-05	5.86E-06	5.02E-06	1.54E-05	0	0	7.38E-06	1.36E-05	0	0	5.18E-06	0	0	0	1.69E-05	0	0
K00005	K00005: glycerol dehydrogenase	0.0003565	0	0.000327311	0.000372392	0.000337385	0.000418858	0.000369255	0.000267831	0.000401568	0.000286062	0.00028231	0.000361225	0.000610672	0.000313159	0.000185074	0.000209128	0	0.000278825	0.000264619	0.000263074	0.000225046	0.000374742	0.000246859	0.000217379	0.000243921	0.000338647	0.00024102	0.000333873	0.000290717
K00006	K00006: glycerol-3-phosphate dehydrogenase (NAD+)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90E-06	0	0	0	0	0
K00007	K00007: D-arabinitol 4-dehydrogenase	0	0	6.93E-06	0	9.55E-06	0	0	0	0	0	0	1.04E-05	0	0	0	0	0	1.72E-05	0	0	0	0	0	0	0	0	0	0	0.000146119
K00008	K00008: L-iditol 2-dehydrogenase	0.000197802	0	0.000413189	0.000354271	0.000391117	0.00034163	0.000311176	0.000315723	0.000308668	0.000285517	0.000267526	0.000329178	0.000325122	0.00054421	0.00023584	0.000228066	0	0.000341622	0.000354984	0.000304825	0.000181261	0.000502706	0.000121876	0.000244146	0.00013936	0.000206516	0.000133191	0.000338428	0.000190413
K00009	K00009: mannitol-1-phosphate 5-dehydrogenase	6.66E-05	0	8.30E-05	7.42E-05	0.000136455	9.58E-05	6.81E-05	6.17E-05	4.74E-05	5.02E-05	0.000114578	7.53E-05	0.000120881	9.08E-05	7.03E-05	8.15E-05	0	0.000142084	0.000103826	5.33E-05	2.81E-05	0.000104644	4.79E-05	6.63E-05	3.10E-05	0.000118871	0	0.000114394	0
K00010	K00010: myo-inositol 2-dehydrogenase	0.000229767	0	0.000244631	0.000366586	0.000272092	0.000273225	0.000483641	0.000208698	0.00020454	0.000201681	0.000416373	0.00029192	0.000257835	0.000341611	0.000288196	0.000315886	0	0.000215567	0.000379347	0.000313926	0.000213805	0.000282161	0.000178918	0.000272599	0.000245466	0.000390364	0.000193993	0.000148446	0
