GID,High,Low,nlow,nhigh,ID,N,D,OR,abs[log2(OR)],OR-type,OR-type2,AverageShortestPathLength,BetweennessCentrality,Centrality Tier,ClusteringCoefficient,Indegree,NeighborhoodConnectivity,Outdegree
K07309,7.557609,14.961509,16,4,K07309,120.921744,59.846036,2.020547259,1.014746095,high-metabotype-associated,high-metabotype-associated,5.60345893,0,peripheral,0,0,10,1
K02814,1.33079,2.62315,16,4,K02814,21.29264,10.4926,2.02930065,1.020982623,high-metabotype-associated,high-metabotype-associated,4.44348363,0,peripheral,0,0,71,1
K12661,6.220394,12.133668,16,4,K12661,99.526304,48.534672,2.05062278,1.036062127,high-metabotype-associated,high-metabotype-associated,5.25896168,0,peripheral,0,1,4,1
K08312,1.808,14.84051,16,4,K08312,28.928,59.36204,0.487314789,1.037074089,high-metabotype-associated,high-metabotype-associated,4.36627548,0,peripheral,1,0,24.71428571,7
K13774,1.10831,9.40224,16,4,K13774,17.73296,37.60896,0.471508917,1.08464304,high-metabotype-associated,high-metabotype-associated,5.17614339,0,peripheral,0,1,11,1
K02752,2.260949,19.18755,16,4,K02752,36.175184,76.7502,0.471336674,1.085170155,high-metabotype-associated,high-metabotype-associated,5.43483632,0,peripheral,0,0,15,2
K02753,2.260949,19.18755,16,4,K02753,36.175184,76.7502,0.471336674,1.085170155,high-metabotype-associated,high-metabotype-associated,5.43483632,0,peripheral,0,0,15,2
K06193,6.36427,59.95733,16,4,K06193,101.82832,239.82932,0.424586619,1.235869192,high-metabotype-associated,high-metabotype-associated,3.83621755,0,peripheral,0.74175824,14,60.57142857,10
K08351,4.15987,6.521724,16,4,K08351,66.55792,26.086896,2.551392853,1.351285056,high-metabotype-associated,high-metabotype-associated,5.54635352,0,peripheral,1,2,6,2
K04032,2.66159,27.1704,16,4,K04032,42.58544,108.6816,0.391836705,1.351675549,high-metabotype-associated,high-metabotype-associated,10.83817171,0,peripheral,0,0,3,1
K04480,4.634752,6.988822,16,4,K04480,74.156032,27.955288,2.652665642,1.407442841,high-metabotype-associated,high-metabotype-associated,5.05253399,0,peripheral,1,19,26.42105263,19
K00523,1.056,11.23509,16,4,K00523,16.896,44.94036,0.375964946,1.411329942,high-metabotype-associated,high-metabotype-associated,6.8776267,0,peripheral,1,2,2.5,2
K04103,1.301758,1.950273,16,4,K04103,20.828128,7.801092,2.669899035,1.416785186,high-metabotype-associated,high-metabotype-associated,4.11557478,0,peripheral,1,4,68.75,3
K00374,11.34569,16.89575,16,4,K00374,181.53104,67.583,2.686045899,1.425483958,high-metabotype-associated,high-metabotype-associated,5.01421508,0,peripheral,1,12,21.75,12
K00372,1.564279,17.065278,16,4,K00372,25.028464,68.261112,0.366657725,1.447494161,high-metabotype-associated,high-metabotype-associated,5.01421508,0,peripheral,1,12,21.75,12
K06165,1.84527,21.6856,16,4,K06165,29.52432,86.7424,0.340367802,1.554833528,high-metabotype-associated,high-metabotype-associated,8.46888478,0,peripheral,0,0,5,1
K09835,2.037855,2.71714,16,4,K09835,32.60568,10.86856,3,1.584962501,high-metabotype-associated,high-metabotype-associated,7.98825711,0,peripheral,0,1,2,1
