Gene	Category	SuperPathway	SubPathway	KOAnnot
K00001	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E1.1.1.1 adh; alcohol dehydrogenase
K00002	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	AKR1A1 adh; alcohol dehydrogenase (NADP+)
K00003	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	E1.1.1.3; homoserine dehydrogenase
K00004	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	BDH butB; (RR)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
K00005	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	gldA; glycerol dehydrogenase
K00006	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	GPD1; glycerol-3-phosphate dehydrogenase (NAD+)
K00007	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	dalD; D-arabinitol 4-dehydrogenase
K00008	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	SORD gutB; L-iditol 2-dehydrogenase
K00009	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	mtlD; mannitol-1-phosphate 5-dehydrogenase
K00010	Metabolism	Carbohydrate metabolism	Inositol_phosphate_metabolism	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00011	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	E1.1.1.21 AKR1; aldehyde reductase
K00012	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	UGDH ugd; UDPglucose 6-dehydrogenase
K00013	Metabolism	Amino acid metabolism	Histidine_metabolism	hisD; histidinol dehydrogenase
K00014	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	aroE; shikimate dehydrogenase
K00015	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	gyaR; glyoxylate reductase
K00016	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	LDH ldh; L-lactate dehydrogenase
K00018	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	hprA; glycerate dehydrogenase
K00019	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E1.1.1.30 bdh; 3-hydroxybutyrate dehydrogenase
K00020	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	E1.1.1.31 mmsB; 3-hydroxyisobutyrate dehydrogenase
K00021	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)
K00022	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	HADH; 3-hydroxyacyl-CoA dehydrogenase
K00023	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E1.1.1.36 phbB; acetoacetyl-CoA reductase
K00024	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	mdh; malate dehydrogenase
K00025	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	MDH1; malate dehydrogenase
K00026	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	MDH2; malate dehydrogenase
K00027	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	ME2 sfcA maeA; malate dehydrogenase (oxaloacetate-decarboxylating)
K00028	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.1.39; malate dehydrogenase (decarboxylating)
K00029	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.1.40 maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	IDH3; isocitrate dehydrogenase (NAD+)
K00031	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	IDH1 IDH2 icd; isocitrate dehydrogenase
K00032	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	E1.1.1.43; phosphogluconate 2-dehydrogenase
K00033	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	PGD gnd gntZ; 6-phosphogluconate dehydrogenase
K00034	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	gdh; glucose 1-dehydrogenase
K00035	Metabolism	Carbohydrate metabolism	Galactose_metabolism	gal; D-galactose 1-dehydrogenase
K00036	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	G6PD zwf; glucose-6-phosphate 1-dehydrogenase
K00037	Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	E1.1.1.50; 3-alpha-hydroxysteroid dehydrogenase
K00038	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00039	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	rbtD; ribitol 2-dehydrogenase
K00040	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxuB; fructuronate reductase
K00041	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxaB; tagaturonate reductase
K00042	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	garR glxR; 2-hydroxy-3-oxopropionate reductase
K00043	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	gbd; 4-hydroxybutyrate dehydrogenase
K00044	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	HSD17B1; 17beta-estradiol 17-dehydrogenase
K00045	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	E1.1.1.67 mtlK; mannitol 2-dehydrogenase
K00048	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	fucO; lactaldehyde reductase
K00049	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	GRHPR; glyoxylate/hydroxypyruvate reductase
K00050	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	ttuD; hydroxypyruvate reductase
K00051	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.1.82; malate dehydrogenase (NADP+)
K00052	Metabolism	Carbohydrate metabolism	C5-Branched_dibasic_acid_metabolism	leuB; 3-isopropylmalate dehydrogenase
K00053	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_biosynthesis	ilvC; ketol-acid reductoisomerase
K00054	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	mvaA; hydroxymethylglutaryl-CoA reductase
K00055	Metabolism	Amino acid metabolism	Tyrosine_metabolism	E1.1.1.90; aryl-alcohol dehydrogenase
K00057	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058	Metabolism	Energy metabolism	Methane_metabolism	serA PHGDH; D-3-phosphoglycerate dehydrogenase
K00059	Metabolism	Lipid metabolism	Fatty_acid_biosynthesis	fabG; 3-oxoacyl-[acyl-carrier protein] reductase
K00060	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	tdh; threonine 3-dehydrogenase
K00061	Metabolism	Metabolism of cofactors and vitamins	Retinol_metabolism	RDH5; 11-cis-retinol dehydrogenase
K00064	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	E1.1.1.122; D-threo-aldose 1-dehydrogenase
K00065	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	kduD; 2-deoxy-D-gluconate 3-dehydrogenase
K00066	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	algD; GDP-mannose 6-dehydrogenase
K00067	Metabolism	Metabolism of terpenoids and polyketides	Polyketide_sugar_unit_biosynthesis	rfbD rmlD; dTDP-4-dehydrorhamnose reductase
K00068	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	srlD; sorbitol-6-phosphate 2-dehydrogenase
K00069	Human Diseases	Cancers	Transcriptional_misregulation_in_cancers	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD)
K00070	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	HSD3B; 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase
K00071	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2
K00072	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	SPR; sepiapterin reductase
K00073	Metabolism	Nucleotide metabolism	Purine_metabolism	allD; ureidoglycolate dehydrogenase (NAD+)
K00074	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	paaH hbd fadB mmgB; 3-hydroxybutyryl-CoA dehydrogenase
K00075	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	murB; UDP-N-acetylmuramate dehydrogenase
K00077	Metabolism	Metabolism of cofactors and vitamins	Pantothenate_and_CoA_biosynthesis	panE apbA; 2-dehydropantoate 2-reductase
K00078	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
K00079	Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	CBR1; carbonyl reductase 1
K00081	Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	CBR2; carbonyl reductase 2
K00082	Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase
K00083	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid_biosynthesis	E1.1.1.195; cinnamyl-alcohol dehydrogenase
K00084	Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	CBR3; carbonyl reductase 3
K00086	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	dhaT; 13-propanediol dehydrogenase
K00087	Metabolism	Nucleotide metabolism	Purine_metabolism	ygeS xdhA; xanthine dehydrogenase molybdenum-binding subunit
K00088	Metabolism	Nucleotide metabolism	Purine_metabolism	guaB; IMP dehydrogenase
K00089	Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	E1.1.1.213; 3alpha-hydroxysteroid dehydrogenase (A-specific)
K00090	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	E1.1.1.215; gluconate 2-dehydrogenase
K00093	Metabolism	Energy metabolism	Methane_metabolism	medh; methanol dehydrogenase
K00094	Metabolism	Carbohydrate metabolism	Galactose_metabolism	E1.1.1.251 gatD; galactitol-1-phosphate 5-dehydrogenase
K00096	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	araM egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]
K00097	Metabolism	Metabolism of cofactors and vitamins	Vitamin_B6_metabolism	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase
K00099	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase
K00100	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	E1.1.1.-;
K00101	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E1.1.2.3 lldD; L-lactate dehydrogenase (cytochrome)
K00102	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	dld LDHD; D-lactate dehydrogenase (cytochrome)
K00103	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	GULO; L-gulonolactone oxidase
K00104	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	glcD; glycolate oxidase
K00105	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	E1.1.3.21; alpha-glycerophosphate oxidase
K00106	Metabolism	Nucleotide metabolism	Purine_metabolism	XDH; xanthine dehydrogenase/oxidase
K00108	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	betA CHDH; choline dehydrogenase
K00109	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E1.1.99.2; 2-hydroxyglutarate dehydrogenase
K00111	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	glpA glpD; glycerol-3-phosphate dehydrogenase
K00112	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	glpB; glycerol-3-phosphate dehydrogenase subunit B
K00113	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	glpC; glycerol-3-phosphate dehydrogenase subunit C
