"","from","to","from_name","from_abundance","to_name","to_abundance"
"1",1,2,"K01623",30.694675,"K00128",43.864375
"2",1,6,"K01623",30.694675,"K00002",10.6492425
"3",1,13,"K01623",30.694675,"K00134",103.540875
"4",1,14,"K01623",30.694675,"K01803",108.953925
"5",1,15,"K01623",30.694675,"K00850",246.26925
"6",1,16,"K01623",30.694675,"K03841",5.287315
"7",1,32,"K01623",30.694675,"K00150",1.0422925
"8",1,33,"K01623",30.694675,"K00131",0.186062
"9",1,35,"K01623",30.694675,"K03738",7.1660425
"10",1,37,"K01623",30.694675,"K00918",0.396
"11",1,52,"K01623",30.694675,"K01625",65.88575
"12",1,55,"K01623",30.694675,"K01619",93.444775
"13",1,57,"K01623",30.694675,"K00615",227.95875
"14",1,70,"K01623",30.694675,"K00616",98.95565
"15",1,71,"K01623",30.694675,"K01621",7.871065
"16",1,88,"K01623",30.694675,"K00011",8.53366
"17",1,106,"K01623",30.694675,"K01629",41.28205
"18",1,108,"K01623",30.694675,"K02768",74.57645
"19",1,127,"K01623",30.694675,"K00895",13.390175
"20",1,128,"K01623",30.694675,"K00882",64.079675
"21",1,146,"K01623",30.694675,"K01635",1.4088725
"22",1,147,"K01623",30.694675,"K01631",5.8572625
"23",1,594,"K01623",30.694675,"K01626",63.3243
"24",1,764,"K01623",30.694675,"K00863",1.5669125
"25",1,780,"K01623",30.694675,"K03339",2.169945
"26",1,785,"K01623",30.694675,"K00006",0.249292
"27",1,786,"K01623",30.694675,"K00057",97.971425
"28",1,787,"K01623",30.694675,"K00111",52.40145
"29",1,798,"K01623",30.694675,"K00096",17.86335
"30",1,809,"K01623",30.694675,"K01734",153.73025
"31",1,927,"K01623",30.694675,"K05298",0.28232
"32",1,929,"K01623",30.694675,"K01632",5.3712025
"33",1,952,"K01623",30.694675,"K01662",98.228825
"34",1,962,"K01623",30.694675,"K08681",40.192225
"35",1,963,"K01623",30.694675,"K06215",35.2731
"36",1,968,"K01623",30.694675,"K03472",0.4877155
"37",1,973,"K01623",30.694675,"K03517",74.801175
"38",1,1155,"K01623",30.694675,"K01624",143.8335
"39",1,1156,"K01623",30.694675,"K01622",0.244524
"40",1,1162,"K01623",30.694675,"K02446",7.08865
"41",1,1163,"K01623",30.694675,"K04041",61.034825
"42",1,1200,"K01623",30.694675,"K02769",60.6513
"43",1,1201,"K01623",30.694675,"K02770",53.34015
"44",1,1217,"K01623",30.694675,"K08302",19.363675
"45",1,1386,"K01623",30.694675,"K03856",49.8806
"46",1,1387,"K01623",30.694675,"K13853",0.7355815
"47",1,1440,"K01623",30.694675,"K05878",18.1401
"48",1,1441,"K01623",30.694675,"K05879",17.5459
"49",1,1446,"K01623",30.694675,"K00112",5.060215
"50",1,1447,"K01623",30.694675,"K00113",6.0394725
"51",2,1,"K00128",43.864375,"K01623",30.694675
"52",2,3,"K00128",43.864375,"K01905",0.19626275
"53",2,4,"K00128",43.864375,"K00129",0.7397845
"54",2,5,"K00128",43.864375,"K01568",0.31828
"55",2,6,"K00128",43.864375,"K00002",10.6492425
"56",2,25,"K00128",43.864375,"K00382",48.87665
"57",2,31,"K00128",43.864375,"K04022",1.117715
"58",2,35,"K00128",43.864375,"K03738",7.1660425
"59",2,36,"K00128",43.864375,"K01895",21.312075
"60",2,38,"K00128",43.864375,"K00114",0.24737875
"61",2,40,"K00128",43.864375,"K00174",49.916625
"62",2,41,"K00128",43.864375,"K00164",2.6170575
"63",2,42,"K00128",43.864375,"K00658",10.329675
"64",2,44,"K00128",43.864375,"K00031",63.424875
"65",2,45,"K00128",43.864375,"K00030",16.02565
"66",2,88,"K00128",43.864375,"K00011",8.53366
"67",2,170,"K00128",43.864375,"K01706",5.6316175
"68",2,329,"K00128",43.864375,"K00264",2.15635
"69",2,330,"K00128",43.864375,"K00260",2.8013775
"70",2,331,"K00128",43.864375,"K00261",1.83532
"71",2,332,"K00128",43.864375,"K00262",104.4772
"72",2,333,"K00128",43.864375,"K01580",18.524175
"73",2,346,"K00128",43.864375,"K00018",57.8118
"74",2,350,"K00128",43.864375,"K00613",0.473536
"75",2,366,"K00128",43.864375,"K00274",0.58494
"76",2,389,"K00128",43.864375,"K01738",124.5245
"77",2,391,"K00128",43.864375,"K12339",8.456025
"78",2,411,"K00128",43.864375,"K00822",0.97281625
"79",2,442,"K00128",43.864375,"K01655",4.66709425
"80",2,495,"K00128",43.864375,"K08660",6.9933675
"81",2,539,"K00128",43.864375,"K01666",22.846625
"82",2,561,"K00128",43.864375,"K01561",1.4929075
"83",2,562,"K00128",43.864375,"K01560",18.517275
"84",2,583,"K00128",43.864375,"K00132",2.61313925
"85",2,588,"K00128",43.864375,"K04103",0.16271975
"86",2,608,"K00128",43.864375,"K00812",42.747775
"87",2,610,"K00128",43.864375,"K01918",55.066175
"88",2,611,"K00128",43.864375,"K01579",87.0295
"89",2,617,"K00128",43.864375,"K00925",97.0914
"90",2,620,"K00128",43.864375,"K06193",4.5850925
"91",2,621,"K00128",43.864375,"K05306",14.251175
"92",2,788,"K00128",43.864375,"K03735",6.48897
"93",2,827,"K00128",43.864375,"K01026",16.2183
"94",2,834,"K00128",43.864375,"K13953",3.6123125
"95",2,843,"K00128",43.864375,"K01913",2.61188
"96",2,849,"K00128",43.864375,"K00015",6.8844125
"97",2,851,"K00128",43.864375,"K00050",15.327275
"98",2,852,"K00128",43.864375,"K00042",19.821075
"99",2,861,"K00128",43.864375,"K00284",26.352425
"100",2,888,"K00128",43.864375,"K00109",1.7463355
"101",2,911,"K00128",43.864375,"K00121",2.3875075
"102",2,925,"K00128",43.864375,"K10977",0.4589525
"103",2,1136,"K00128",43.864375,"K00823",4.0860725
"104",2,1138,"K00128",43.864375,"K00811",23.213975
"105",2,1155,"K00128",43.864375,"K01624",143.8335
"106",2,1156,"K00128",43.864375,"K01622",0.244524
"107",2,1157,"K00128",43.864375,"K13954",10.869765
"108",2,1158,"K00128",43.864375,"K00001",81.93995
"109",2,1159,"K00128",43.864375,"K04072",33.25195
"110",2,1184,"K00128",43.864375,"K00175",58.7611
"111",2,1185,"K00128",43.864375,"K00177",34.846175
"112",2,1186,"K00128",43.864375,"K00176",60.43645
"113",2,1319,"K00128",43.864375,"K13799",1.0119285
"114",2,1324,"K00128",43.864375,"K00813",2.21581675
"115",2,1325,"K00128",43.864375,"K11358",63.5069
"116",2,1326,"K00128",43.864375,"K14260",27.558275
"117",2,1327,"K00128",43.864375,"K00265",19.8684
"118",2,1328,"K00128",43.864375,"K00266",155.20375
"119",2,1329,"K00128",43.864375,"K07250",5.62233
"120",2,1331,"K00128",43.864375,"K00865",57.016625
"121",2,1342,"K00128",43.864375,"K12972",5.1708025
"122",2,1383,"K00128",43.864375,"K04073",0.5976375
"123",2,1384,"K00128",43.864375,"K04021",1.5287375
"124",2,1448,"K00128",43.864375,"K03736",6.7448725
"125",2,1449,"K00128",43.864375,"K04019",3.74454975
"126",3,2,"K01905",0.19626275,"K00128",43.864375
"127",3,4,"K01905",0.19626275,"K00129",0.7397845
"128",3,7,"K01905",0.19626275,"K00163",1.8095975
"129",3,8,"K01905",0.19626275,"K00627",8.012205
"130",3,25,"K01905",0.19626275,"K00382",48.87665
"131",3,34,"K01905",0.19626275,"K00169",13.97926
"132",3,36,"K01905",0.19626275,"K01895",21.312075
"133",3,48,"K01905",0.19626275,"K01647",103.208
"134",3,50,"K01905",0.19626275,"K01643",13.85625
"135",3,135,"K01905",0.19626275,"K00100",241.62
"136",3,182,"K01905",0.19626275,"K00648",103.4771
"137",3,183,"K01905",0.19626275,"K00668",0.04417375
"138",3,187,"K01905",0.19626275,"K11533",2.8790175
"139",3,188,"K01905",0.19626275,"K01961",57.15585
"140",3,196,"K01905",0.19626275,"K00249",4.9707175
"141",3,199,"K01905",0.19626275,"K00626",42.382175
"142",3,200,"K01905",0.19626275,"K00632",4.9286525
"143",3,207,"K01905",0.19626275,"K01641",0.456155
"144",3,389,"K01905",0.19626275,"K01738",124.5245
"145",3,391,"K01905",0.19626275,"K12339",8.456025
"146",3,407,"K01905",0.19626275,"K01965",1.46124
"147",3,408,"K01905",0.19626275,"K00140",2.3392125
"148",3,416,"K01905",0.19626275,"K09011",13.4039625
"149",3,420,"K01905",0.19626275,"K01649",77.649975
"150",3,442,"K01905",0.19626275,"K01655",4.66709425
"151",3,583,"K01905",0.19626275,"K00132",2.61313925
"152",3,609,"K01905",0.19626275,"K01578",0.757083
"153",3,613,"K01905",0.19626275,"K13788",6.1242375
"154",3,617,"K01905",0.19626275,"K00925",97.0914
"155",3,620,"K01905",0.19626275,"K06193",4.5850925
"156",3,726,"K01905",0.19626275,"K10817",0.2638485
"157",3,818,"K01905",0.19626275,"K00656",106.812075
"158",3,822,"K01905",0.19626275,"K01638",2.25143
"159",3,826,"K01905",0.19626275,"K01067",12.9916
"160",3,827,"K01905",0.19626275,"K01026",16.2183
"161",3,828,"K01905",0.19626275,"K01962",45.30105
"162",3,831,"K01905",0.19626275,"K04020",0.8040875
"163",3,863,"K01905",0.19626275,"K03518",94.23255
"164",3,866,"K01905",0.19626275,"K00932",0.83059
"165",3,870,"K01905",0.19626275,"K01908",0.71214725
"166",3,872,"K01905",0.19626275,"K01659",2.50606225
"167",3,874,"K01905",0.19626275,"K13923",6.38852
"168",3,916,"K01905",0.19626275,"K00625",78.68835
"169",3,925,"K01905",0.19626275,"K10977",0.4589525
"170",3,931,"K01905",0.19626275,"K02160",43.593
"171",3,935,"K01905",0.19626275,"K03737",66.731725
"172",3,936,"K01905",0.19626275,"K00198",12.5980675
"173",3,937,"K01905",0.19626275,"K14138",9.93864
"174",3,1146,"K01905",0.19626275,"K05551",1.23017825
"175",3,1159,"K01905",0.19626275,"K04072",33.25195
"176",3,1160,"K01905",0.19626275,"K00161",7.87087
"177",3,1161,"K01905",0.19626275,"K00162",7.2932125
"178",3,1174,"K01905",0.19626275,"K00170",14.686525
