"","from","to","from_name","from_abundance","to_name","to_abundance"
"1",1,2,"K01623",0.000645459,"K00128",0.000125574
"2",1,4,"K01623",0.000645459,"K00002",6.65248e-05
"3",1,11,"K01623",0.000645459,"K00134",0.000980391
"4",1,12,"K01623",0.000645459,"K01803",0.000877261
"5",1,13,"K01623",0.000645459,"K00850",0.001883699
"6",1,14,"K01623",0.000645459,"K03841",6.21239e-05
"7",1,29,"K01623",0.000645459,"K00150",2.00344e-06
"8",1,30,"K01623",0.000645459,"K00131",1.00435e-06
"9",1,32,"K01623",0.000645459,"K03738",5.75948e-05
"10",1,47,"K01623",0.000645459,"K01625",0.000528118
"11",1,50,"K01623",0.000645459,"K01619",0.0007272
"12",1,52,"K01623",0.000645459,"K00615",0.001537253
"13",1,65,"K01623",0.000645459,"K00616",0.000750595
"14",1,66,"K01623",0.000645459,"K01621",4.30653e-05
"15",1,84,"K01623",0.000645459,"K00011",1.88458e-05
"16",1,102,"K01623",0.000645459,"K01629",0.000445264
"17",1,104,"K01623",0.000645459,"K02768",0.0002894
"18",1,122,"K01623",0.000645459,"K00895",0.000260779
"19",1,123,"K01623",0.000645459,"K00882",0.000267747
"20",1,140,"K01623",0.000645459,"K01631",4.2983e-05
"21",1,555,"K01623",0.000645459,"K01626",0.00033597
"22",1,712,"K01623",0.000645459,"K00863",5.22607e-06
"23",1,727,"K01623",0.000645459,"K03339",1.70102e-06
"24",1,731,"K01623",0.000645459,"K00057",0.000629717
"25",1,732,"K01623",0.000645459,"K00111",0.000340422
"26",1,742,"K01623",0.000645459,"K00096",6.55291e-05
"27",1,749,"K01623",0.000645459,"K01734",0.001307955
"28",1,845,"K01623",0.000645459,"K01632",3.97828e-05
"29",1,864,"K01623",0.000645459,"K01662",0.00070402
"30",1,873,"K01623",0.000645459,"K08681",0.000193819
"31",1,874,"K01623",0.000645459,"K06215",0.000175175
"32",1,879,"K01623",0.000645459,"K03472",1.7829e-05
"33",1,884,"K01623",0.000645459,"K03517",0.000462558
"34",1,1054,"K01623",0.000645459,"K01624",0.001176914
"35",1,1060,"K01623",0.000645459,"K10705",3.11732e-06
"36",1,1061,"K01623",0.000645459,"K02446",7.52995e-05
"37",1,1062,"K01623",0.000645459,"K04041",0.000442473
"38",1,1098,"K01623",0.000645459,"K02769",0.000267413
"39",1,1099,"K01623",0.000645459,"K02770",0.000267661
"40",1,1115,"K01623",0.000645459,"K08302",0.000166977
"41",1,1252,"K01623",0.000645459,"K03856",0.000269863
"42",1,1304,"K01623",0.000645459,"K05878",0.00011016
"43",1,1305,"K01623",0.000645459,"K05879",0.000113027
"44",1,1311,"K01623",0.000645459,"K00112",5.21674e-05
"45",1,1312,"K01623",0.000645459,"K00113",7.03012e-05
"46",2,1,"K00128",0.000125574,"K01623",0.000645459
"47",2,3,"K00128",0.000125574,"K00129",3.79071e-06
"48",2,4,"K00128",0.000125574,"K00002",6.65248e-05
"49",2,22,"K00128",0.000125574,"K00382",0.000600937
"50",2,28,"K00128",0.000125574,"K04022",1.51438e-05
"51",2,32,"K00128",0.000125574,"K03738",5.75948e-05
"52",2,33,"K00128",0.000125574,"K01895",0.000276538
"53",2,35,"K00128",0.000125574,"K00174",0.000686106
"54",2,36,"K00128",0.000125574,"K00164",5.41429e-05
"55",2,37,"K00128",0.000125574,"K00658",0.000186756
