ID,High_c
K01954,2.3862E-07
K02489,2.82018E-07
K11681,3.2841E-07
K00143,3.44082E-07
K05914,3.47528E-07
K01229,3.65039E-07
K04788,4.13251E-07
K14162,4.21545E-07
K00256,4.22447E-07
K00870,4.25954E-07
K14201,4.69475E-07
K14195,4.74658E-07
K05185,4.88464E-07
K12202,4.90232E-07
K11665,4.99402E-07
K13611,5.04237E-07
K12678,5.07915E-07
K13830,5.17645E-07
K11127,5.22596E-07
K08740,5.44634E-07
K12443,5.54824E-07
K00209,5.62305E-07
K10817,5.62305E-07
K10902,5.94207E-07
K02223,6.33251E-07
K11356,6.73587E-07
K13797,6.93665E-07
K02545,7.16751E-07
K08643,7.24623E-07
K12823,7.2536E-07
K08344,7.29082E-07
K01410,7.29082E-07
K05565,7.31845E-07
K05853,7.44432E-07
K01121,7.51499E-07
K14086,7.53651E-07
K11293,7.87646E-07
K02817,7.99492E-07
K12953,8.11908E-07
K06044,8.13754E-07
K13040,8.46985E-07
K08295,8.88031E-07
K12217,8.98008E-07
K13178,9.06846E-07
K09461,9.17315E-07
K13541,9.42031E-07
K05587,9.43515E-07
K06307,9.43538E-07
K08741,9.45531E-07
K14358,9.56615E-07
K00875,9.576E-07
K00960,9.91969E-07
K00131,1.00435E-06
K13490,1.00516E-06
K13854,1.02133E-06
K10908,1.0238E-06
K01583,1.03005E-06
K01900,1.03445E-06
K03483,1.04075E-06
K11199,1.04131E-06
K11200,1.04131E-06
K11198,1.04131E-06
K01204,1.04339E-06
K12530,1.06488E-06
K00827,1.0671E-06
K11734,1.07115E-06
K00154,1.07379E-06
K13796,1.07831E-06
K14083,1.08058E-06
K14447,1.09341E-06
K08166,1.0944E-06
K04880,1.09858E-06
K12531,1.09892E-06
K11285,1.10508E-06
K02592,1.11339E-06
K02240,1.12872E-06
K03894,1.14963E-06
K05841,1.15022E-06
K00119,1.15602E-06
K10715,1.15879E-06
K11180,1.17454E-06
K01930,1.19996E-06
K02615,1.20472E-06
K11407,1.22766E-06
K10598,1.23492E-06
K13116,1.25892E-06
K01641,1.26133E-06
K07168,1.28318E-06
K13688,1.2892E-06
K00480,1.29943E-06
K00481,1.30272E-06
K13967,1.3051E-06
K10843,1.3168E-06
K00317,1.31947E-06
K08773,1.326E-06
K10235,1.33083E-06
K06139,1.34365E-06
K08656,1.34422E-06
K01535,1.36222E-06
K07654,1.36322E-06
K13285,1.3635E-06
K11781,1.36509E-06
K10195,1.36873E-06
K11779,1.37325E-06
K00934,1.38422E-06
K00354,1.38722E-06
K10191,1.42181E-06
K03219,1.42602E-06
K01115,1.42854E-06
K10407,1.4351E-06
K05324,1.45342E-06
K02352,1.46232E-06
K07649,1.46405E-06
K10830,1.47642E-06
K07280,1.4991E-06
K05327,1.49964E-06
K01702,1.50932E-06
K12454,1.51408E-06
K10978,1.51408E-06
K13884,1.51603E-06
K11081,1.52306E-06
K00309,1.52942E-06
K05566,1.53675E-06
K04780,1.53811E-06
K01361,1.54781E-06
K14286,1.55722E-06
K04109,1.58418E-06
K13503,1.59352E-06
K12681,1.59387E-06
K05663,1.59796E-06
K14063,1.60398E-06
K13177,1.60548E-06
K06436,1.61031E-06
K06994,1.61666E-06
K01896,1.6175E-06
K01434,1.61981E-06
K01431,1.62005E-06
K10202,1.62656E-06
K09478,1.6275E-06
K12658,1.62943E-06
K10821,1.6363E-06
K01455,1.64511E-06
K08100,1.65348E-06
K00601,1.65442E-06
K02280,1.65996E-06
K14057,1.66647E-06
K05546,1.67571E-06
K00423,1.67738E-06
K00822,1.68485E-06
K03339,1.70102E-06
K11162,1.70102E-06
K02205,1.70308E-06
K12218,1.70442E-06
K07653,1.71048E-06
K13093,1.71295E-06
K12979,1.71664E-06
K12146,1.72297E-06
K00692,1.72928E-06
K00825,1.76222E-06
K11083,1.77604E-06
K05714,1.7822E-06
K10858,1.78969E-06
K12203,1.79366E-06
K13287,1.80079E-06
K14159,1.82135E-06
K13730,1.83684E-06
K13025,1.84154E-06
K02840,1.85685E-06
K08714,1.86521E-06
K00118,1.87207E-06
K01796,1.88403E-06
K01180,0.000001898
K01055,1.9152E-06
K03795,1.91719E-06
K03277,1.91926E-06
K12228,1.92465E-06
K05962,1.92684E-06
K09023,1.9296E-06
K05597,1.93007E-06
K11442,1.93175E-06
K11082,1.93688E-06
K08256,1.94385E-06
K11139,1.95208E-06
K01225,1.95934E-06
K14164,1.96357E-06
K14123,1.96463E-06
K00235,1.96656E-06
K01913,1.97099E-06
K05613,1.97386E-06
K01502,1.97457E-06
K12460,1.9784E-06
K01575,1.98175E-06
